gearType,year,species,tl
fyke,2012,Black Crappie,246
fyke,2012,Black Crappie,165
fyke,2012,Black Crappie,330
fyke,2012,Black Crappie,130
fyke,2012,Black Crappie,56
fyke,2012,Black Crappie,330
fyke,2012,Black Crappie,229
fyke,2012,Black Crappie,145
fyke,2012,Black Crappie,335
fyke,2012,Black Crappie,325
fyke,2012,Black Crappie,236
fyke,2012,Black Crappie,338
fyke,2012,Black Crappie,53
fyke,2012,Black Crappie,343
fyke,2012,Black Crappie,239
fyke,2012,Black Crappie,64
fyke,2012,Black Crappie,58
fyke,2012,Black Crappie,216
fyke,2012,Black Crappie,140
fyke,2012,Black Crappie,53
fyke,2012,Black Crappie,76
fyke,2011,Black Crappie,64
fyke,2011,Black Crappie,58
fyke,2011,Black Crappie,127
fyke,2011,Black Crappie,305
fyke,2011,Black Crappie,66
fyke,2011,Black Crappie,325
fyke,2011,Black Crappie,307
fyke,2011,Black Crappie,335
fyke,2011,Black Crappie,300
fyke,2011,Black Crappie,325
fyke,2011,Black Crappie,302
fyke,2011,Black Crappie,284
fyke,2011,Black Crappie,323
fyke,2011,Black Crappie,330
fyke,2011,Black Crappie,333
fyke,2011,Black Crappie,325
fyke,2011,Black Crappie,330
fyke,2011,Black Crappie,328
fyke,2011,Black Crappie,323
fyke,2011,Black Crappie,277
fyke,2011,Black Crappie,315
fyke,2011,Black Crappie,338
fyke,2011,Black Crappie,340
fyke,2011,Black Crappie,257
fyke,2011,Black Crappie,320
fyke,2011,Black Crappie,295
fyke,2011,Black Crappie,330
fyke,2011,Black Crappie,330
fyke,2011,Black Crappie,69
fyke,2011,Black Crappie,53
fyke,2011,Black Crappie,320
fyke,2011,Black Crappie,305
fyke,2011,Black Crappie,318
fyke,2011,Black Crappie,323
fyke,2011,Black Crappie,338
fyke,2011,Black Crappie,340
fyke,2011,Black Crappie,307
fyke,2011,Black Crappie,351
fyke,2011,Black Crappie,333
fyke,2011,Black Crappie,325
fyke,2011,Black Crappie,345
fyke,2011,Black Crappie,310
fyke,2011,Black Crappie,330
fyke,2011,Black Crappie,320
fyke,2011,Black Crappie,315
fyke,2011,Black Crappie,315
fyke,2011,Black Crappie,310
fyke,2011,Black Crappie,315
fyke,2011,Black Crappie,333
fyke,2011,Black Crappie,310
fyke,2011,Black Crappie,312
fyke,2011,Black Crappie,318
fyke,2011,Black Crappie,279
fyke,2011,Black Crappie,64
fyke,2011,Black Crappie,69
fyke,2011,Black Crappie,325
fyke,2011,Black Crappie,325
