# bass_age_growth.csv
# Pine Bluff Reservoir - Largemouth Bass Age and Growth Data from Otolith Samples
# Columns:
#   year_collected: Year the fish was collected (integer, YYYY)
#   fish_id: Unique fish identifier (character)
#   total_length_mm: Total length at capture in millimeters
#   weight_g: Weight at capture in grams
#   age_years: Estimated age from otolith reading in years
#   length_at_age1_mm: Back-calculated total length at age 1 (mm); NA if not available
#   length_at_age2_mm: Back-calculated total length at age 2 (mm); NA if fish age < 2
#   length_at_age3_mm: Back-calculated total length at age 3 (mm); NA if fish age < 3
#   length_at_age4_mm: Back-calculated total length at age 4 (mm); NA if fish age < 4
#   length_at_age5_mm: Back-calculated total length at age 5 (mm); NA if fish age < 5
# Units: lengths in mm, weight in g, age in years
# Missing values coded as NA
year_collected,fish_id,total_length_mm,weight_g,age_years,length_at_age1_mm,length_at_age2_mm,length_at_age3_mm,length_at_age4_mm,length_at_age5_mm
2016,A0001,387,776.2,4,154,261,324,356,NA
2016,A0002,377,726.6,5,150,246,NA,346,400
2016,A0003,226,147.7,2,153,228,NA,NA,NA
2016,A0004,372,771.6,5,175,250,NA,330,370
2016,A0005,402,927.7,5,179,270,305,360,395
2016,A0006,285,327.7,3,144,263,288,NA,NA
2016,A0007,317,481.6,4,141,218,312,348,NA
2016,A0008,256,231.1,3,215,226,315,NA,NA
2016,A0009,252,204.8,2,132,NA,NA,NA,NA
2016,A0010,363,733.6,5,195,256,286,344,369
2016,A0011,408,1092.1,6,128,251,307,319,374
2016,A0012,401,962.4,6,174,221,298,298,378
2016,A0013,422,1114.3,6,174,NA,332,NA,394
2016,A0014,326,565.1,3,154,248,320,NA,NA
2016,A0015,305,424.0,3,197,237,295,NA,NA
2016,A0016,269,273.9,2,147,260,NA,NA,NA
2016,A0017,211,140.0,2,152,259,NA,NA,NA
2016,A0018,286,312.9,3,166,215,290,NA,NA
2016,A0019,218,148.0,2,182,238,NA,NA,NA
2016,A0020,215,142.5,2,172,254,NA,NA,NA
2016,A0021,402,955.3,5,192,233,282,321,393
2016,A0022,398,984.7,5,178,241,322,346,401
2016,A0023,471,1776.0,10,150,271,322,356,377
2016,A0024,244,208.3,3,169,238,280,NA,NA
2016,A0025,415,1087.7,5,NA,225,290,365,387
2016,A0026,450,1281.4,8,156,244,286,347,376
2016,A0027,416,1203.6,5,147,221,300,348,NA
2016,A0028,299,415.1,3,137,232,330,NA,NA
2016,A0029,365,683.3,5,185,241,314,347,392
2016,A0030,457,1367.8,8,201,200,293,356,366
2016,A0031,429,1268.4,8,191,261,284,351,409
2016,A0032,433,1183.3,7,139,202,307,360,NA
2016,A0033,370,687.2,4,160,239,310,360,NA
2016,A0034,366,745.6,5,200,230,319,339,404
2016,A0035,182,73.5,1,140,NA,NA,NA,NA
2016,A0036,361,732.8,4,NA,226,301,358,NA
2016,A0037,243,196.9,2,184,219,NA,NA,NA
2016,A0038,400,986.5,5,NA,215,294,347,405
2016,A0039,244,185.9,2,172,227,NA,NA,NA
