# bass_electrofishing.csv
# Pine Bluff Reservoir - Largemouth Bass Fall Electrofishing Survey Data
# Columns:
#   year: Year of sampling (integer, YYYY)
#   sample_date: Date of electrofishing run (YYYY-MM-DD)
#   site: Sampling site identifier (character, e.g., S01-S08)
#   effort_seconds: Electrofishing effort in seconds per run
#   fish_id: Unique fish identifier within that run
#   total_length_mm: Total length of individual fish in millimeters
#   weight_g: Weight of individual fish in grams; NA if not weighed
#   cpue_fish_per_hr: Catch per unit effort (fish per hour) for the site-year; same for all fish in a site-year
# Units: length in mm, weight in g, effort in seconds, CPUE in fish/hr
# Missing values coded as NA
year,sample_date,site,effort_seconds,fish_id,total_length_mm,weight_g,cpue_fish_per_hr
2014,2014-10-25,S01,857,F00001,316,415.5,33.6
2014,2014-10-25,S01,857,F00002,260,271.8,33.6
2014,2014-10-25,S01,857,F00003,302,355.1,33.6
2014,2014-10-25,S01,857,F00004,309,447.7,33.6
2014,2014-10-25,S01,857,F00005,293,359.1,33.6
2014,2014-10-25,S01,857,F00006,198,101.1,33.6
2014,2014-10-25,S01,857,F00007,322,482.5,33.6
2014,2014-10-25,S01,857,F00008,272,266.9,33.6
2014,2014-10-25,S02,852,F00009,265,256.4,38.0
2014,2014-10-25,S02,852,F00010,371,663.3,38.0
2014,2014-10-25,S02,852,F00011,448,1209.3,38.0
2014,2014-10-25,S02,852,F00012,447,1427.7,38.0
2014,2014-10-25,S02,852,F00013,286,297.2,38.0
2014,2014-10-25,S02,852,F00014,359,750.4,38.0
2014,2014-10-25,S02,852,F00015,418,1075.0,38.0
2014,2014-10-25,S02,852,F00016,193,110.1,38.0
2014,2014-10-25,S02,852,F00017,246,226.2,38.0
2014,2014-10-25,S03,836,F00018,414,1125.9,73.2
2014,2014-10-25,S03,836,F00019,322,459.9,73.2
2014,2014-10-25,S03,836,F00020,409,1100.7,73.2
2014,2014-10-25,S03,836,F00021,258,214.5,73.2
2014,2014-10-25,S03,836,F00022,442,1448.7,73.2
2014,2014-10-25,S03,836,F00023,481,1762.7,73.2
