year,month,sample_date,secchi_depth_m,surface_temp_c,chlorophyll_a_ug_l
2010,5,2010-05-13,3.7,14.0,8.5
2010,6,2010-06-23,3.2,20.6,7.8
2010,7,2010-07-18,4.1,23.0,9.8
2010,8,2010-08-13,4.6,22.8,9.7
2010,9,2010-09-17,3.3,16.6,10.1
2012,5,2012-05-16,3.7,14.7,10.0
2012,6,2012-06-24,3.1,18.2,11.1
2012,7,2012-07-13,3.9,22.8,7.3
2012,8,2012-08-22,3.8,22.1,6.1
2012,9,2012-09-13,3.2,16.6,NA
2014,5,2014-05-22,3.8,16.0,10.2
2014,6,2014-06-13,2.7,20.3,8.4
2014,7,2014-07-12,3.3,23.9,3.6
2014,8,2014-08-20,3.6,21.6,7.7
2014,9,2014-09-15,3.9,17.1,7.3
2016,5,2016-05-23,3.4,13.1,7.9
2016,6,2016-06-20,3.4,17.8,NA
2016,7,2016-07-10,3.3,24.3,11.1
2016,8,2016-08-23,3.2,22.2,9.7
2016,9,2016-09-12,3.1,16.7,9.9
2018,5,2018-05-11,2.6,15.7,13.9
2018,6,2018-06-25,3.2,18.6,13.3
2018,7,2018-07-10,2.8,24.2,9.5
2018,8,2018-08-13,3.8,22.9,9.4
2018,9,2018-09-17,3.0,17.9,13.2
2020,5,2020-05-22,2.7,15.0,14.4
2020,6,2020-06-11,3.2,20.8,10.0
2020,7,2020-07-11,3.2,23.5,14.1
2020,8,2020-08-16,3.0,22.9,15.2
2020,9,2020-09-21,3.5,17.5,7.2
2022,5,2022-05-16,2.6,14.9,12.4
2022,6,2022-06-25,2.6,20.5,13.4
2022,7,2022-07-11,3.0,24.4,10.4
2022,8,2022-08-20,2.7,22.3,7.5
2022,9,2022-09-15,3.7,17.7,12.2
2024,5,2024-05-11,2.0,14.8,15.4
2024,6,2024-06-14,2.9,20.3,11.7
2024,7,2024-07-19,2.4,24.9,10.9
2024,8,2024-08-19,3.1,23.7,17.5
2024,9,2024-09-19,2.4,18.9,13.4
