# crappie_harvest_survey.csv
# Silver Creek Impoundment - Black Crappie Voluntary Creel/Harvest Survey Data
# Columns:
#   year: Year of survey (integer, YYYY)
#   month: Month of survey (integer, 1-12)
#   survey_date: Date of creel clerk interview (YYYY-MM-DD)
#   angler_id: Anonymous angler identifier (character)
#   hours_fished: Hours spent fishing during that trip
#   crappie_caught: Total black crappie caught (kept + released)
#   crappie_harvested: Number of black crappie kept/harvested
#   largest_fish_mm: Length of largest crappie caught in mm; NA if no fish caught
#   satisfaction: Angler satisfaction rating (1=very dissatisfied to 5=very satisfied); NA if not answered
# Units: effort in hours, length in mm
# Missing values coded as NA
year,month,survey_date,angler_id,hours_fished,crappie_caught,crappie_harvested,largest_fish_mm,satisfaction
2015,4,2015-04-22,A201504000,7.9,14,10,147,3
2015,4,2015-04-22,A201504001,1.6,13,9,192,4
2015,4,2015-04-22,A201504002,4.4,8,5,205,4
2015,4,2015-04-22,A201504003,3.9,7,4,166,4
2015,4,2015-04-22,A201504004,4.7,5,4,273,5
2015,4,2015-04-22,A201504005,2.2,11,7,194,4
2015,4,2015-04-22,A201504006,5.2,11,8,209,4
2015,4,2015-04-22,A201504007,5.5,5,4,222,4
2015,4,2015-04-22,A201504008,2.8,4,4,188,4
2015,4,2015-04-22,A201504009,7.6,7,6,202,4
2015,4,2015-04-22,A201504010,3.4,6,3,234,3
2015,4,2015-04-22,A201504011,4.3,8,6,193,4
2015,4,2015-04-22,A201504012,6.2,5,3,219,3
2015,4,2015-04-22,A201504013,4.9,5,1,196,5
2015,4,2015-04-22,A201504014,4.5,12,8,234,NA
2015,4,2015-04-22,A201504015,2.1,11,6,196,4
2015,5,2015-05-23,A201505000,2.8,1,0,171,5
2015,5,2015-05-23,A201505001,6.8,12,8,240,4
2015,5,2015-05-23,A201505002,6.3,15,10,222,2
2015,5,2015-05-23,A201505003,7.9,14,11,238,3
2015,5,2015-05-23,A201505004,4.3,0,0,NA,5
2015,5,2015-05-23,A201505005,3.3,4,3,201,3
2015,5,2015-05-23,A201505006,5.6,9,4,227,4
2015,5,2015-05-23,A201505007,7.6,4,2,186,3
2015,5,2015-05-23,A201505008,3.3,8,5,223,NA
2015,6,2015-06-06,A201506000,6.4,12,6,174,4
