# crappie_length_frequency.csv
# Silver Creek Impoundment - Black Crappie Fall Trap Net Length-Frequency Data
# Columns:
#   year: Year of sampling (integer, YYYY)
#   sample_date: Date of sampling (YYYY-MM-DD)
#   site: Trap net site identifier (character, TN01-TN08)
#   fish_id: Unique fish identifier (character)
#   total_length_mm: Total length in millimeters
#   weight_g: Weight in grams; NA if not weighed
#   sex: Sex of fish (M, F, or U for unknown); NA if not determined
# Units: length in mm, weight in g
# Missing values coded as NA
year,sample_date,site,fish_id,total_length_mm,weight_g,sex
2012,2012-10-02,TN01,C00001,235,166.4,F
2012,2012-10-02,TN01,C00002,204,107.9,M
2012,2012-10-02,TN01,C00003,224,126.9,U
2012,2012-10-02,TN01,C00004,182,70.4,F
2012,2012-10-02,TN01,C00005,236,137.1,F
2012,2012-10-02,TN01,C00006,156,37.2,F
2012,2012-10-02,TN01,C00007,187,76.6,F
2012,2012-10-02,TN01,C00008,138,26.4,M
2012,2012-10-02,TN01,C00009,258,210.7,F
2012,2012-10-02,TN01,C00010,163,NA,M
2012,2012-10-02,TN01,C00011,231,122.0,F
2012,2012-10-02,TN01,C00012,206,87.8,M
2012,2012-10-02,TN01,C00013,127,25.1,M
2012,2012-10-02,TN01,C00014,167,43.5,F
2012,2012-10-02,TN01,C00015,204,104.1,F
2012,2012-10-02,TN01,C00016,202,78.4,F
2012,2012-10-02,TN01,C00017,246,143.6,F
2012,2012-10-02,TN02,C00018,162,NA,M
2012,2012-10-02,TN02,C00019,150,36.9,M
2012,2012-10-02,TN02,C00020,203,97.1,U
2012,2012-10-02,TN02,C00021,240,140.7,F
2012,2012-10-02,TN02,C00022,180,65.0,U
2012,2012-10-02,TN02,C00023,207,88.1,F
2012,2012-10-02,TN02,C00024,284,269.4,F
2012,2012-10-02,TN02,C00025,139,25.2,F
2012,2012-10-02,TN02,C00026,226,147.6,F
2012,2012-10-02,TN02,C00027,192,NA,M
2012,2012-10-02,TN02,C00028,246,180.2,F
2012,2012-10-02,TN02,C00029,147,31.5,F
2012,2012-10-02,TN02,C00030,244,182.2,F
2012,2012-10-02,TN02,C00031,252,177.9,U
2012,2012-10-02,TN02,C00032,251,189.3,M
2012,2012-10-02,TN02,C00033,196,85.1,NA
2012,2012-10-02,TN02,C00034,231,126.7,F
2012,2012-10-02,TN02,C00035,214,99.8,M
2012,2012-10-02,TN02,C00036,145,35.9,M
2012,2012-10-02,TN02,C00037,273,240.2,U
2012,2012-10-02,TN02,C00038,152,40.7,M
2012,2012-10-02,TN02,C00039,224,120.4,NA
2012,2012-10-02,TN02,C00040,222,106.3,NA
2012,2012-10-02,TN02,C00041,213,101.4,F
2012,2012-10-02,TN02,C00042,153,40.6,M
2012,2012-10-02,TN02,C00043,293,251.9,NA
2012,2012-10-02,TN02,C00044,221,124.7,NA
2012,2012-10-02,TN02,C00045,238,156.3,M
2012,2012-10-02,TN02,C00046,195,89.7,F
2012,2012-10-02,TN02,C00047,214,97.1,U
2012,2012-10-02,TN03,C00048,153,41.8,F
2012,2012-10-02,TN03,C00049,263,215.0,M
2012,2012-10-02,TN03,C00050,189,64.2,F
2012,2012-10-02,TN03,C00051,154,41.0,M
2012,2012-10-02,TN03,C00052,198,95.8,F
2012,2012-10-02,TN03,C00053,171,47.3,M
2012,2012-10-02,TN03,C00054,166,53.3,F
2012,2012-10-02,TN03,C00055,222,125.7,M
2012,2012-10-02,TN03,C00056,218,110.1,NA
2012,2012-10-02,TN03,C00057,172,48.8,F
2012,2012-10-02,TN03,C00058,180,63.5,NA
2012,2012-10-02,TN03,C00059,194,79.9,F
2012,2012-10-02,TN03,C00060,245,179.8,M
2012,2012-10-02,TN03,C00061,199,NA,M
2012,2012-10-02,TN03,C00062,214,NA,M
2012,2012-10-02,TN03,C00063,218,112.8,F
2012,2012-10-02,TN03,C00064,214,111.0,F
2012,2012-10-02,TN03,C00065,170,57.9,U
2012,2012-10-02,TN03,C00066,275,241.9,F
2012,2012-10-02,TN03,C00067,290,308.6,M
2012,2012-10-02,TN04,C00068,199,88.1,M
2012,2012-10-02,TN04,C00069,282,NA,F
2012,2012-10-02,TN04,C00070,213,96.1,F
2012,2012-10-02,TN04,C00071,185,78.1,F
2012,2012-10-02,TN04,C00072,156,39.0,M
2012,2012-10-02,TN04,C00073,242,142.6,F
2012,2012-10-02,TN04,C00074,142,34.1,NA
2012,2012-10-02,TN04,C00075,197,83.3,M
2012,2012-10-02,TN04,C00076,316,395.5,F
2012,2012-10-02,TN04,C00077,243,NA,U
2012,2012-10-02,TN04,C00078,256,200.7,F
2012,2012-10-02,TN04,C00079,207,97.1,M
2012,2012-10-02,TN04,C00080,186,80.9,NA
2012,2012-10-02,TN04,C00081,191,69.8,F
2012,2012-10-02,TN04,C00082,214,NA,U
2012,2012-10-02,TN04,C00083,122,21.2,F
2012,2012-10-02,TN04,C00084,260,172.5,NA
2012,2012-10-02,TN04,C00085,236,NA,F
2012,2012-10-02,TN04,C00086,151,34.8,U
2012,2012-10-02,TN04,C00087,135,27.7,F
2012,2012-10-02,TN04,C00088,226,141.2,M
2012,2012-10-02,TN04,C00089,248,182.3,NA
2012,2012-10-02,TN05,C00090,204,85.0,F
2012,2012-10-02,TN05,C00091,172,59.8,NA
2012,2012-10-02,TN05,C00092,193,83.2,M
2012,2012-10-02,TN05,C00093,254,NA,F
2012,2012-10-02,TN05,C00094,269,201.7,F
2012,2012-10-02,TN05,C00095,212,114.6,M
2012,2012-10-02,TN05,C00096,289,244.7,F
2012,2012-10-02,TN05,C00097,120,16.8,F
2012,2012-10-02,TN05,C00098,138,30.8,NA
2012,2012-10-02,TN05,C00099,202,87.1,U
2012,2012-10-02,TN05,C00100,186,66.6,F
2012,2012-10-02,TN05,C00101,226,136.0,F
2012,2012-10-02,TN05,C00102,211,106.7,M
2012,2012-10-02,TN05,C00103,235,138.3,M
2012,2012-10-02,TN05,C00104,154,37.1,M
2012,2012-10-02,TN05,C00105,146,33.6,M
2012,2012-10-02,TN05,C00106,156,43.7,NA
2012,2012-10-02,TN05,C00107,253,174.5,F
2012,2012-10-02,TN05,C00108,149,36.7,M
2012,2012-10-02,TN05,C00109,219,124.2,F
2012,2012-10-02,TN05,C00110,219,107.8,NA
2012,2012-10-02,TN06,C00111,202,94.4,F
2012,2012-10-02,TN06,C00112,185,72.8,U
2012,2012-10-02,TN06,C00113,266,215.6,M
2012,2012-10-02,TN06,C00114,249,197.9,M
2012,2012-10-02,TN06,C00115,162,48.5,F
2012,2012-10-02,TN06,C00116,266,217.6,U
2012,2012-10-02,TN06,C00117,201,87.6,U
2012,2012-10-02,TN06,C00118,211,NA,F
2012,2012-10-02,TN06,C00119,241,173.0,U
2012,2012-10-02,TN06,C00120,168,NA,M
2012,2012-10-02,TN06,C00121,218,125.0,M
2012,2012-10-02,TN06,C00122,157,42.3,F
2012,2012-10-02,TN06,C00123,168,56.1,U
2012,2012-10-02,TN06,C00124,228,121.3,M
2012,2012-10-02,TN07,C00125,229,116.5,M
2012,2012-10-02,TN07,C00126,191,85.3,NA
2012,2012-10-02,TN07,C00127,211,90.0,M
2012,2012-10-02,TN07,C00128,196,85.8,F
2012,2012-10-02,TN07,C00129,237,167.9,M
2012,2012-10-02,TN07,C00130,209,88.4,M
2012,2012-10-02,TN07,C00131,201,78.0,U
2012,2012-10-02,TN07,C00132,185,64.0,F
2012,2012-10-02,TN07,C00133,214,110.9,M
2012,2012-10-02,TN07,C00134,276,NA,F
2012,2012-10-02,TN07,C00135,173,54.2,M
2012,2012-10-02,TN07,C00136,272,204.2,U
2012,2012-10-02,TN07,C00137,225,138.1,U
2012,2012-10-02,TN07,C00138,196,84.4,F
2012,2012-10-02,TN07,C00139,216,120.2,M
2012,2012-10-02,TN07,C00140,231,NA,U
2012,2012-10-02,TN07,C00141,193,NA,NA
2012,2012-10-02,TN07,C00142,243,180.6,U
2012,2012-10-02,TN07,C00143,277,NA,M
2012,2012-10-02,TN07,C00144,142,29.4,F
2012,2012-10-02,TN07,C00145,208,108.0,F
2012,2012-10-02,TN07,C00146,201,83.4,NA
2012,2012-10-02,TN07,C00147,167,45.6,F
2012,2012-10-02,TN07,C00148,220,128.7,U
2012,2012-10-02,TN07,C00149,181,61.9,U
2012,2012-10-02,TN07,C00150,206,NA,NA
2012,2012-10-02,TN07,C00151,228,117.5,F
2012,2012-10-02,TN08,C00152,221,127.3,NA
2012,2012-10-02,TN08,C00153,208,90.7,M
2012,2012-10-02,TN08,C00154,206,NA,F
2012,2012-10-02,TN08,C00155,130,25.2,F
2012,2012-10-02,TN08,C00156,283,224.2,F
2012,2012-10-02,TN08,C00157,262,204.5,M
2012,2012-10-02,TN08,C00158,176,57.8,U
2012,2012-10-02,TN08,C00159,181,74.4,NA
2012,2012-10-02,TN08,C00160,226,123.0,M
2012,2012-10-02,TN08,C00161,190,NA,NA
2012,2012-10-02,TN08,C00162,205,86.5,F
2012,2012-10-02,TN08,C00163,252,196.9,F
2012,2012-10-02,TN08,C00164,222,124.8,U
2012,2012-10-02,TN08,C00165,260,225.1,U
2012,2012-10-02,TN08,C00166,227,128.0,NA
2012,2012-10-02,TN08,C00167,281,284.3,M
2012,2012-10-02,TN08,C00168,259,181.4,F
2012,2012-10-02,TN08,C00169,212,109.2,M
2013,2013-10-19,TN01,C00170,149,36.5,NA
2013,2013-10-19,TN01,C00171,115,NA,U
2013,2013-10-19,TN01,C00172,190,67.8,NA
2013,2013-10-19,TN01,C00173,185,73.4,NA
2013,2013-10-19,TN01,C00174,236,162.8,M
2013,2013-10-19,TN01,C00175,219,104.7,M
2013,2013-10-19,TN01,C00176,201,84.7,F
2013,2013-10-19,TN01,C00177,201,76.8,NA
2013,2013-10-19,TN01,C00178,261,180.5,F
2013,2013-10-19,TN01,C00179,239,163.3,U
2013,2013-10-19,TN01,C00180,232,131.6,M
2013,2013-10-19,TN01,C00181,289,254.3,U
2013,2013-10-19,TN01,C00182,187,80.4,F
