# stream_habitat.csv
# Elk Fork Creek - Stream Habitat Survey Data
# Columns:
#   year: Year of survey (integer, YYYY)
#   site: Site identifier (character, EF01-EF05)
#   transect: Transect number within site (integer)
#   canopy_cover_pct: Percent canopy cover overhead
#   dominant_substrate: Dominant substrate type (character: bedrock, boulder, cobble, gravel, sand, silt)
#   pct_fines: Percent substrate composed of sand and finer material
#   pool_depth_cm: Maximum pool depth at the transect in centimeters; NA if no pool present
#   lwd_count: Count of large woody debris pieces (>10 cm diameter, >1 m length) within 5 m of transect
#   bank_erosion_rating: Visual rating of bank erosion (1=none to 5=severe)
# Units: cover in %, depth in cm, LWD as count
# Missing values coded as NA
year,site,transect,canopy_cover_pct,dominant_substrate,pct_fines,pool_depth_cm,lwd_count,bank_erosion_rating
2015,EF01,1,74,gravel,15,74,4,2
2015,EF01,2,77,gravel,14,50,6,3
2015,EF01,3,84,gravel,18,69,3,2
2015,EF01,4,70,cobble,20,NA,3,3
2015,EF01,5,83,silt,14,NA,2,1
2015,EF01,6,77,boulder,10,86,2,3
2015,EF01,7,90,sand,6,60,3,3
2015,EF01,8,77,gravel,30,61,0,1
2015,EF01,9,83,gravel,19,63,4,2
2015,EF01,10,74,gravel,21,55,4,2
2015,EF02,1,70,cobble,2,63,5,1
2015,EF02,2,61,sand,9,64,2,2
2015,EF02,3,77,silt,9,NA,3,3
2015,EF02,4,70,cobble,0,20,4,3
2015,EF02,5,76,cobble,11,49,3,2
2015,EF02,6,82,gravel,13,NA,3,1
2015,EF02,7,97,gravel,19,NA,3,1
2015,EF02,8,87,gravel,10,66,5,2
2015,EF02,9,69,gravel,14,59,3,2
2015,EF02,10,74,sand,22,NA,5,1
2015,EF03,1,74,gravel,19,54,3,2
2015,EF03,2,72,silt,7,46,4,1
2015,EF03,3,77,silt,4,88,2,2
2015,EF03,4,83,gravel,6,74,5,1
2015,EF03,5,78,cobble,19,NA,3,2
2015,EF03,6,70,silt,20,54,6,3
2015,EF03,7,72,cobble,0,NA,6,2
2015,EF03,8,90,boulder,12,56,3,2
2015,EF03,9,85,silt,5,NA,4,1
2015,EF03,10,72,gravel,16,71,4,1
2015,EF04,1,69,sand,17,81,2,2
2015,EF04,2,52,gravel,24,52,3,1
2015,EF04,3,65,sand,12,48,4,3
2015,EF04,4,82,gravel,12,64,3,1
2015,EF04,5,77,sand,14,71,6,1
2015,EF04,6,83,cobble,14,54,2,3
2015,EF04,7,71,sand,17,67,3,1
2015,EF04,8,74,sand,25,62,4,1
2015,EF04,9,80,cobble,22,NA,2,1
2015,EF04,10,78,boulder,17,73,0,1
2015,EF05,1,74,silt,18,64,2,1
2015,EF05,2,58,cobble,5,60,5,2
2015,EF05,3,77,boulder,18,NA,3,2
2015,EF05,4,75,cobble,25,NA,2,1
2015,EF05,5,67,silt,16,59,5,1
2015,EF05,6,93,silt,21,37,0,1
2015,EF05,7,84,gravel,10,62,6,2
2015,EF05,8,82,cobble,4,NA,7,1
2015,EF05,9,78,sand,27,56,1,1
2015,EF05,10,79,gravel,21,47,4,2
2018,EF01,1,63,sand,25,37,2,4
2018,EF01,2,52,silt,3,NA,4,2
2018,EF01,3,61,silt,12,77,4,3
2018,EF01,4,61,sand,6,52,0,1
2018,EF01,5,69,cobble,24,NA,2,3
2018,EF01,6,63,silt,16,64,4,2
2018,EF01,7,83,sand,15,13,3,3
2018,EF01,8,63,silt,10,47,3,2
2018,EF01,9,61,boulder,1,NA,3,3
2018,EF01,10,78,gravel,16,63,3,2
2018,EF02,1,57,silt,30,49,1,3
2018,EF02,2,60,cobble,17,NA,1,2
2018,EF02,3,69,gravel,19,51,1,1
2018,EF02,4,56,sand,22,NA,6,1
2018,EF02,5,61,gravel,0,60,0,2
2018,EF02,6,68,gravel,22,32,1,2
2018,EF02,7,74,cobble,20,35,2,2
2018,EF02,8,75,boulder,13,NA,0,1
2018,EF02,9,72,cobble,18,NA,6,3
2018,EF02,10,76,gravel,24,49,4,3
2018,EF03,1,79,cobble,17,45,1,2
2018,EF03,2,72,boulder,11,72,1,2
2018,EF03,3,79,gravel,25,46,3,4
2018,EF03,4,72,sand,6,NA,4,3
2018,EF03,5,70,gravel,22,52,1,2
2018,EF03,6,64,gravel,19,77,4,2
2018,EF03,7,72,bedrock,24,NA,5,2
2018,EF03,8,65,boulder,10,NA,3,1
2018,EF03,9,51,sand,38,NA,3,4
2018,EF03,10,66,cobble,7,37,4,4
2018,EF04,1,78,bedrock,16,43,0,2
2018,EF04,2,66,cobble,19,NA,1,1
2018,EF04,3,71,sand,34,NA,4,3
2018,EF04,4,62,gravel,15,78,4,2
2018,EF04,5,62,cobble,20,68,4,3
2018,EF04,6,71,gravel,13,60,1,2
2018,EF04,7,72,gravel,17,53,3,1
2018,EF04,8,53,gravel,16,60,3,1
2018,EF04,9,57,sand,28,52,0,1
2018,EF04,10,58,silt,19,52,3,2
2018,EF05,1,82,gravel,5,NA,2,2
2018,EF05,2,83,cobble,17,65,4,1
2018,EF05,3,88,sand,26,NA,1,4
2018,EF05,4,96,cobble,18,59,3,2
2018,EF05,5,72,cobble,20,49,1,2
2018,EF05,6,77,cobble,10,59,3,3
2018,EF05,7,75,sand,21,64,5,1
2018,EF05,8,71,gravel,13,NA,3,2
2018,EF05,9,55,sand,4,70,1,2
2018,EF05,10,64,gravel,22,47,3,1
2021,EF01,1,60,cobble,30,NA,0,3
2021,EF01,2,41,gravel,22,65,4,4
2021,EF01,3,63,gravel,18,NA,1,2
2021,EF01,4,80,cobble,14,NA,0,2
2021,EF01,5,59,gravel,31,34,4,2
2021,EF01,6,74,sand,32,53,1,2
2021,EF01,7,62,cobble,35,52,2,3
2021,EF01,8,69,sand,19,24,5,3
2021,EF01,9,53,sand,29,NA,0,2
2021,EF01,10,70,sand,22,33,2,3
2021,EF02,1,57,cobble,19,NA,2,1
2021,EF02,2,64,gravel,28,64,4,3
2021,EF02,3,48,gravel,29,48,1,3
2021,EF02,4,58,cobble,13,NA,3,3
2021,EF02,5,65,bedrock,16,43,5,2
2021,EF02,6,48,silt,33,17,1,2
2021,EF02,7,80,sand,11,60,0,3
2021,EF02,8,53,sand,18,60,4,1
2021,EF02,9,50,boulder,23,50,0,4
2021,EF02,10,71,gravel,8,51,1,3
2021,EF03,1,76,sand,15,55,4,2
2021,EF03,2,75,bedrock,19,48,2,2
2021,EF03,3,50,sand,36,NA,0,1
2021,EF03,4,59,cobble,16,19,2,3
2021,EF03,5,44,cobble,22,65,2,3
2021,EF03,6,59,sand,43,34,3,3
2021,EF03,7,61,cobble,34,NA,1,3
2021,EF03,8,64,sand,28,41,0,1
2021,EF03,9,66,cobble,25,45,3,2
2021,EF03,10,54,silt,28,35,0,3
2021,EF04,1,70,silt,4,45,4,2
2021,EF04,2,62,gravel,26,34,4,3
2021,EF04,3,56,cobble,15,27,3,3
2021,EF04,4,65,gravel,26,66,3,2
2021,EF04,5,67,gravel,19,NA,2,3
2021,EF04,6,67,boulder,15,56,3,3
2021,EF04,7,59,bedrock,17,32,2,3
2021,EF04,8,49,silt,26,32,0,5
2021,EF04,9,63,sand,44,52,5,4
2021,EF04,10,56,gravel,24,62,3,3
2021,EF05,1,65,gravel,22,37,0,2
2021,EF05,2,38,silt,22,30,1,3
2021,EF05,3,62,sand,12,NA,0,3
2021,EF05,4,77,bedrock,22,51,2,2
2021,EF05,5,62,sand,28,NA,3,4
2021,EF05,6,55,gravel,21,34,0,2
2021,EF05,7,51,cobble,19,NA,2,3
2021,EF05,8,58,bedrock,21,27,4,2
2021,EF05,9,73,cobble,19,67,3,2
2021,EF05,10,53,cobble,22,NA,2,3
2024,EF01,1,64,cobble,22,29,1,4
2024,EF01,2,53,gravel,36,46,1,4
2024,EF01,3,62,boulder,25,26,0,4
2024,EF01,4,49,silt,31,47,2,2
2024,EF01,5,47,cobble,13,37,1,3
2024,EF01,6,38,gravel,35,30,0,4
2024,EF01,7,53,gravel,14,35,0,4
2024,EF01,8,68,cobble,28,NA,0,5
2024,EF01,9,48,boulder,22,33,1,2
2024,EF01,10,37,cobble,40,47,0,3
2024,EF02,1,73,gravel,35,26,1,2
2024,EF02,2,60,sand,28,47,0,2
2024,EF02,3,47,cobble,23,NA,2,3
2024,EF02,4,26,cobble,30,38,2,4
2024,EF02,5,61,boulder,28,74,0,4
2024,EF02,6,41,gravel,19,26,0,5
2024,EF02,7,62,sand,21,14,3,5
2024,EF02,8,63,gravel,50,34,0,3
2024,EF02,9,49,gravel,34,48,0,5
2024,EF02,10,53,boulder,26,65,0,3
2024,EF03,1,55,gravel,28,10,4,3
2024,EF03,2,43,boulder,26,67,4,3
2024,EF03,3,62,gravel,29,39,1,4
2024,EF03,4,46,boulder,27,36,2,3
2024,EF03,5,49,gravel,26,64,0,4
2024,EF03,6,59,cobble,41,34,3,3
2024,EF03,7,71,cobble,28,48,2,3
2024,EF03,8,50,gravel,35,27,3,3
2024,EF03,9,54,gravel,35,NA,1,4
2024,EF03,10,67,gravel,36,NA,0,3
2024,EF04,1,49,bedrock,25,57,1,5
2024,EF04,2,57,gravel,18,NA,4,4
2024,EF04,3,44,cobble,32,NA,1,3
2024,EF04,4,57,cobble,16,36,0,3
2024,EF04,5,75,gravel,17,39,3,3
2024,EF04,6,47,silt,38,50,3,3
2024,EF04,7,52,sand,23,23,0,2
2024,EF04,8,62,gravel,22,41,0,3
2024,EF04,9,74,sand,33,62,1,3
2024,EF04,10,52,sand,41,45,0,2
2024,EF05,1,45,silt,21,NA,1,5
2024,EF05,2,50,sand,20,NA,3,3
