# stream_temperature.csv
# Elk Fork Creek - Daily Water Temperature from Two Monitoring Stations
# Columns:
#   date: Date of measurement (YYYY-MM-DD)
#   station: Station identifier (upstream or downstream)
#   daily_mean_temp_c: Daily mean water temperature in degrees Celsius
#   daily_max_temp_c: Daily maximum water temperature in degrees Celsius
# Units: temperature in Celsius
# Missing values coded as NA
# Temperature loggers deployed May through October each year
date,station,daily_mean_temp_c,daily_max_temp_c
2015-05-01,upstream,12.0,14.1
2015-05-02,upstream,14.0,15.7
2015-05-03,upstream,12.5,16.1
2015-05-04,upstream,14.5,18.4
2015-05-05,upstream,12.8,16.6
2015-05-06,upstream,13.5,15.7
2015-05-07,upstream,14.9,18.7
2015-05-08,upstream,15.2,17.1
2015-05-09,upstream,14.7,16.4
2015-05-10,upstream,14.9,19.0
2015-05-11,upstream,13.0,15.2
2015-05-12,upstream,15.0,16.8
2015-05-13,upstream,15.8,17.7
2015-05-14,upstream,13.5,15.5
2015-05-15,upstream,17.3,20.8
2015-05-16,upstream,16.0,19.9
2015-05-17,upstream,14.1,16.2
2015-05-18,upstream,16.3,17.8
2015-05-19,upstream,17.0,19.3
2015-05-20,upstream,17.7,20.3
2015-05-21,upstream,14.6,18.4
2015-05-22,upstream,16.1,19.8
2015-05-23,upstream,14.5,16.6
2015-05-24,upstream,14.7,16.3
2015-05-25,upstream,17.5,20.3
2015-05-26,upstream,17.5,19.3
2015-05-27,upstream,15.8,18.9
2015-05-28,upstream,17.9,20.2
2015-05-29,upstream,15.7,17.9
2015-05-30,upstream,16.9,20.8
2015-05-31,upstream,17.6,20.8
2015-06-01,upstream,16.2,17.8
2015-06-02,upstream,17.1,19.9
2015-06-03,upstream,17.1,21.0
2015-06-04,upstream,16.1,19.8
2015-06-05,upstream,17.5,20.2
2015-06-06,upstream,17.8,21.6
2015-06-07,upstream,18.2,20.3
2015-06-08,upstream,19.0,23.0
2015-06-09,upstream,18.0,22.3
2015-06-10,upstream,17.3,19.8
2015-06-11,upstream,19.2,22.3
2015-06-12,upstream,17.2,18.9
2015-06-13,upstream,17.9,20.2
2015-06-14,upstream,19.7,21.8
2015-06-15,upstream,18.7,21.7
2015-06-16,upstream,17.5,21.3
2015-06-17,upstream,17.9,21.7
2015-06-18,upstream,19.0,23.3
2015-06-19,upstream,18.4,22.1
2015-06-20,upstream,18.4,22.4
2015-06-21,upstream,16.8,19.7
2015-06-22,upstream,17.9,20.1
2015-06-23,upstream,NA,NA
2015-06-24,upstream,19.8,22.3
2015-06-25,upstream,18.9,22.7
2015-06-26,upstream,18.0,22.4
2015-06-27,upstream,16.8,19.4
2015-06-28,upstream,18.0,19.7
2015-06-29,upstream,16.3,20.2
2015-06-30,upstream,16.0,18.5
2015-07-01,upstream,20.1,24.6
2015-07-02,upstream,17.4,20.8
2015-07-03,upstream,17.3,19.0
2015-07-04,upstream,17.4,20.4
2015-07-05,upstream,20.2,23.1
2015-07-06,upstream,16.7,19.2
2015-07-07,upstream,17.3,20.8
2015-07-08,upstream,21.1,23.3
2015-07-09,upstream,16.9,19.4
2015-07-10,upstream,17.3,20.3
2015-07-11,upstream,17.6,21.0
2015-07-12,upstream,17.4,20.6
2015-07-13,upstream,14.9,17.7
2015-07-14,upstream,17.6,21.3
2015-07-15,upstream,15.9,20.2
2015-07-16,upstream,16.1,18.1
2015-07-17,upstream,18.3,21.6
2015-07-18,upstream,18.9,22.1
2015-07-19,upstream,17.3,20.5
2015-07-20,upstream,15.7,18.0
2015-07-21,upstream,16.7,19.6
2015-07-22,upstream,16.2,19.5
2015-07-23,upstream,17.7,21.4
2015-07-24,upstream,16.6,20.8
2015-07-25,upstream,17.0,20.2
2015-07-26,upstream,17.3,18.9
2015-07-27,upstream,15.7,18.6
2015-07-28,upstream,18.1,19.8
2015-07-29,upstream,17.9,22.1
2015-07-30,upstream,16.9,19.4
2015-07-31,upstream,16.5,20.8
2015-08-01,upstream,16.9,20.6
2015-08-02,upstream,15.5,18.0
2015-08-03,upstream,15.1,16.6
2015-08-04,upstream,15.0,17.3
2015-08-05,upstream,14.7,17.6
2015-08-06,upstream,15.9,17.7
2015-08-07,upstream,15.0,16.6
2015-08-08,upstream,17.5,19.4
2015-08-09,upstream,13.6,17.6
2015-08-10,upstream,16.7,18.3
2015-08-11,upstream,13.9,17.9
2015-08-12,upstream,14.9,17.1
