# trout_population.csv
# Elk Fork Creek - Brown Trout Annual Electrofishing Survey Data
# Columns:
#   year: Year of survey (integer, YYYY)
#   sample_date: Date of electrofishing (YYYY-MM-DD)
#   site: Stream site identifier (character, EF01-EF05)
#   reach_length_m: Length of the sampled reach in meters
#   fish_id: Unique fish identifier (character)
#   total_length_mm: Total length in millimeters
#   weight_g: Weight in grams; NA if not weighed
#   cpue_per_100m: Site-level CPUE (fish per 100 m of stream); same for all fish at a site-year
# Units: length in mm, weight in g, reach in meters
# Missing values coded as NA
year,sample_date,site,reach_length_m,fish_id,total_length_mm,weight_g,cpue_per_100m
2013,2013-08-07,EF01,150,T00001,182,67.0,18.0
2013,2013-08-07,EF01,150,T00002,319,296.4,18.0
2013,2013-08-07,EF01,150,T00003,330,422.9,18.0
2013,2013-08-07,EF01,150,T00004,305,346.9,18.0
2013,2013-08-07,EF01,150,T00005,228,113.9,18.0
2013,2013-08-07,EF01,150,T00006,219,119.3,18.0
2013,2013-08-07,EF01,150,T00007,178,55.5,18.0
2013,2013-08-07,EF01,150,T00008,281,205.8,18.0
2013,2013-08-07,EF01,150,T00009,178,58.1,18.0
2013,2013-08-07,EF01,150,T00010,195,86.8,18.0
2013,2013-08-07,EF01,150,T00011,239,145.0,18.0
2013,2013-08-07,EF01,150,T00012,221,115.0,18.0
2013,2013-08-07,EF01,150,T00013,212,114.1,18.0
2013,2013-08-07,EF01,150,T00014,137,26.7,18.0
2013,2013-08-07,EF01,150,T00015,273,200.3,18.0
2013,2013-08-07,EF01,150,T00016,194,67.2,18.0
2013,2013-08-07,EF01,150,T00017,220,112.1,18.0
2013,2013-08-07,EF01,150,T00018,265,202.8,18.0
2013,2013-08-07,EF01,150,T00019,255,151.8,18.0
2013,2013-08-07,EF01,150,T00020,218,107.5,18.0
2013,2013-08-07,EF01,150,T00021,270,NA,18.0
2013,2013-08-07,EF01,150,T00022,196,82.4,18.0
2013,2013-08-07,EF01,150,T00023,159,39.2,18.0
2013,2013-08-07,EF01,150,T00024,299,252.7,18.0
2013,2013-08-07,EF01,150,T00025,295,295.9,18.0
2013,2013-08-07,EF01,150,T00026,305,NA,18.0
2013,2013-08-07,EF01,150,T00027,209,84.7,18.0
2013,2013-08-07,EF02,100,T00028,127,24.2,25.0
2013,2013-08-07,EF02,100,T00029,276,240.1,25.0
2013,2013-08-07,EF02,100,T00030,267,213.1,25.0
2013,2013-08-07,EF02,100,T00031,104,11.3,25.0
2013,2013-08-07,EF02,100,T00032,206,91.9,25.0
2013,2013-08-07,EF02,100,T00033,269,203.5,25.0
2013,2013-08-07,EF02,100,T00034,198,72.3,25.0
2013,2013-08-07,EF02,100,T00035,181,62.7,25.0
2013,2013-08-07,EF02,100,T00036,196,89.1,25.0
2013,2013-08-07,EF02,100,T00037,271,224.7,25.0
2013,2013-08-07,EF02,100,T00038,229,130.4,25.0
2013,2013-08-07,EF02,100,T00039,210,87.4,25.0
2013,2013-08-07,EF02,100,T00040,222,120.3,25.0
2013,2013-08-07,EF02,100,T00041,270,223.5,25.0
2013,2013-08-07,EF02,100,T00042,269,NA,25.0
2013,2013-08-07,EF02,100,T00043,215,111.8,25.0
2013,2013-08-07,EF02,100,T00044,225,135.3,25.0
2013,2013-08-07,EF02,100,T00045,216,95.1,25.0
2013,2013-08-07,EF02,100,T00046,231,129.9,25.0
2013,2013-08-07,EF02,100,T00047,261,199.0,25.0
2013,2013-08-07,EF02,100,T00048,201,87.7,25.0
2013,2013-08-07,EF02,100,T00049,88,7.5,25.0
2013,2013-08-07,EF02,100,T00050,294,262.9,25.0
2013,2013-08-07,EF02,100,T00051,147,34.6,25.0
2013,2013-08-07,EF02,100,T00052,252,185.4,25.0
2013,2013-08-07,EF03,200,T00053,270,187.9,10.5
2013,2013-08-07,EF03,200,T00054,273,231.2,10.5
2013,2013-08-07,EF03,200,T00055,284,213.7,10.5
2013,2013-08-07,EF03,200,T00056,267,173.1,10.5
2013,2013-08-07,EF03,200,T00057,217,101.2,10.5
2013,2013-08-07,EF03,200,T00058,223,121.6,10.5
2013,2013-08-07,EF03,200,T00059,216,100.5,10.5
2013,2013-08-07,EF03,200,T00060,179,58.7,10.5
2013,2013-08-07,EF03,200,T00061,173,59.7,10.5
2013,2013-08-07,EF03,200,T00062,353,456.8,10.5
2013,2013-08-07,EF03,200,T00063,171,53.2,10.5
2013,2013-08-07,EF03,200,T00064,232,126.0,10.5
2013,2013-08-07,EF03,200,T00065,251,164.1,10.5
2013,2013-08-07,EF03,200,T00066,207,90.6,10.5
2013,2013-08-07,EF03,200,T00067,267,176.8,10.5
2013,2013-08-07,EF03,200,T00068,169,48.1,10.5
2013,2013-08-07,EF03,200,T00069,169,56.2,10.5
2013,2013-08-07,EF03,200,T00070,203,79.2,10.5
2013,2013-08-07,EF03,200,T00071,239,154.9,10.5
2013,2013-08-07,EF03,200,T00072,149,39.6,10.5
2013,2013-08-07,EF03,200,T00073,306,268.9,10.5
2013,2013-08-07,EF04,150,T00074,138,30.7,16.0
2013,2013-08-07,EF04,150,T00075,222,106.0,16.0
2013,2013-08-07,EF04,150,T00076,269,223.7,16.0
2013,2013-08-07,EF04,150,T00077,151,37.7,16.0
2013,2013-08-07,EF04,150,T00078,296,291.9,16.0
2013,2013-08-07,EF04,150,T00079,318,331.1,16.0
2013,2013-08-07,EF04,150,T00080,249,143.0,16.0
2013,2013-08-07,EF04,150,T00081,206,91.0,16.0
2013,2013-08-07,EF04,150,T00082,195,80.3,16.0
2013,2013-08-07,EF04,150,T00083,259,157.6,16.0
2013,2013-08-07,EF04,150,T00084,364,539.1,16.0
2013,2013-08-07,EF04,150,T00085,225,130.0,16.0
2013,2013-08-07,EF04,150,T00086,288,229.0,16.0
2013,2013-08-07,EF04,150,T00087,293,295.9,16.0
2013,2013-08-07,EF04,150,T00088,240,151.7,16.0
2013,2013-08-07,EF04,150,T00089,311,330.9,16.0
2013,2013-08-07,EF04,150,T00090,288,239.8,16.0
2013,2013-08-07,EF04,150,T00091,165,50.9,16.0
2013,2013-08-07,EF04,150,T00092,224,123.6,16.0
2013,2013-08-07,EF04,150,T00093,323,317.0,16.0
2013,2013-08-07,EF04,150,T00094,158,NA,16.0
2013,2013-08-07,EF04,150,T00095,231,117.1,16.0
2013,2013-08-07,EF04,150,T00096,249,163.5,16.0
2013,2013-08-07,EF04,150,T00097,273,234.6,16.0
2013,2013-08-07,EF05,150,T00098,292,279.7,16.0
2013,2013-08-07,EF05,150,T00099,142,26.7,16.0
2013,2013-08-07,EF05,150,T00100,274,186.4,16.0
2013,2013-08-07,EF05,150,T00101,249,169.4,16.0
2013,2013-08-07,EF05,150,T00102,278,244.1,16.0
2013,2013-08-07,EF05,150,T00103,260,159.5,16.0
2013,2013-08-07,EF05,150,T00104,206,90.2,16.0
2013,2013-08-07,EF05,150,T00105,162,44.1,16.0
2013,2013-08-07,EF05,150,T00106,243,171.0,16.0
2013,2013-08-07,EF05,150,T00107,195,83.2,16.0
2013,2013-08-07,EF05,150,T00108,204,100.1,16.0
2013,2013-08-07,EF05,150,T00109,152,32.2,16.0
2013,2013-08-07,EF05,150,T00110,211,98.4,16.0
2013,2013-08-07,EF05,150,T00111,193,75.0,16.0
2013,2013-08-07,EF05,150,T00112,286,257.6,16.0
2013,2013-08-07,EF05,150,T00113,262,198.5,16.0
2013,2013-08-07,EF05,150,T00114,244,164.8,16.0
2013,2013-08-07,EF05,150,T00115,209,89.1,16.0
2013,2013-08-07,EF05,150,T00116,279,231.3,16.0
2013,2013-08-07,EF05,150,T00117,171,58.4,16.0
2013,2013-08-07,EF05,150,T00118,242,145.0,16.0
2013,2013-08-07,EF05,150,T00119,197,77.0,16.0
2013,2013-08-07,EF05,150,T00120,203,80.9,16.0
2013,2013-08-07,EF05,150,T00121,215,94.7,16.0
2014,2014-08-07,EF01,200,T00122,286,263.9,12.0
2014,2014-08-07,EF01,200,T00123,262,164.7,12.0
2014,2014-08-07,EF01,200,T00124,139,26.2,12.0
2014,2014-08-07,EF01,200,T00125,265,212.7,12.0
2014,2014-08-07,EF01,200,T00126,265,221.1,12.0
2014,2014-08-07,EF01,200,T00127,206,88.4,12.0
2014,2014-08-07,EF01,200,T00128,182,54.7,12.0
2014,2014-08-07,EF01,200,T00129,244,141.4,12.0
2014,2014-08-07,EF01,200,T00130,249,158.0,12.0
2014,2014-08-07,EF01,200,T00131,136,29.8,12.0
2014,2014-08-07,EF01,200,T00132,194,77.5,12.0
2014,2014-08-07,EF01,200,T00133,217,114.4,12.0
2014,2014-08-07,EF01,200,T00134,301,323.7,12.0
2014,2014-08-07,EF01,200,T00135,202,95.6,12.0
2014,2014-08-07,EF01,200,T00136,188,67.9,12.0
2014,2014-08-07,EF01,200,T00137,229,125.6,12.0
2014,2014-08-07,EF01,200,T00138,184,NA,12.0
2014,2014-08-07,EF01,200,T00139,273,189.7,12.0
2014,2014-08-07,EF01,200,T00140,219,95.4,12.0
2014,2014-08-07,EF01,200,T00141,113,14.3,12.0
2014,2014-08-07,EF01,200,T00142,294,246.4,12.0
2014,2014-08-07,EF01,200,T00143,140,26.0,12.0
