# walleye_creel.csv
# Lake Sandhill - Walleye Creel Survey Data
# Columns:
#   year: Survey year (integer, YYYY)
#   season: Fishing season (character: open_water or ice)
#   month: Month of interview (integer, 1-12)
#   survey_date: Date of creel clerk interview (YYYY-MM-DD)
#   angler_id: Anonymous angler identifier (character)
#   party_size: Number of anglers in the party
#   hours_fished: Total hours fished by the party during that trip
#   walleye_caught: Number of walleye caught (kept + released)
#   walleye_harvested: Number of walleye harvested (kept)
#   largest_walleye_mm: Total length of largest walleye caught in mm; NA if none caught
#   target_species: Primary species targeted (character)
#   satisfaction: Trip satisfaction (1=very dissatisfied to 5=very satisfied); NA if not answered
#   resident: Whether angler is a local resident (yes or no); NA if not answered
# Units: effort in hours, length in mm
# Missing values coded as NA
year,season,month,survey_date,angler_id,party_size,hours_fished,walleye_caught,walleye_harvested,largest_walleye_mm,target_species,satisfaction,resident
2012,open_water,5,2012-05-09,OW201205000,2,8.5,3,2,390,yellow_perch,5,no
2012,open_water,5,2012-05-21,OW201205001,1,8.0,6,4,543,walleye,NA,yes
2012,open_water,5,2012-05-04,OW201205002,3,24.5,8,5,415,any,4,yes
2012,open_water,5,2012-05-12,OW201205003,2,12.9,1,0,503,yellow_perch,3,no
2012,open_water,5,2012-05-12,OW201205004,2,4.1,5,2,496,any,5,no
2012,open_water,5,2012-05-10,OW201205005,1,4.6,4,2,368,walleye,3,no
2012,open_water,5,2012-05-16,OW201205006,2,12.9,5,3,475,walleye,4,yes
2012,open_water,5,2012-05-26,OW201205007,1,4.2,6,4,481,walleye,4,yes
2012,open_water,5,2012-05-02,OW201205008,2,4.9,3,2,430,walleye,4,no
2012,open_water,5,2012-05-21,OW201205009,3,7.5,6,3,439,walleye,4,no
2012,open_water,5,2012-05-05,OW201205010,2,14.5,5,2,475,walleye,4,no
2012,open_water,5,2012-05-13,OW201205011,2,18.1,4,2,410,yellow_perch,4,yes
2012,open_water,5,2012-05-28,OW201205012,2,15.8,4,2,385,walleye,2,yes
2012,open_water,5,2012-05-27,OW201205013,1,8.1,8,4,400,walleye,3,no
2012,open_water,5,2012-05-23,OW201205014,2,5.8,0,0,NA,walleye,3,yes
2012,open_water,5,2012-05-06,OW201205015,3,19.1,2,1,431,walleye,4,yes
2012,open_water,5,2012-05-28,OW201205016,4,16.3,1,0,521,any,4,no
2012,open_water,5,2012-05-27,OW201205017,2,9.7,5,2,418,white_bass,4,yes
2012,open_water,5,2012-05-20,OW201205018,4,26.4,5,3,374,yellow_perch,3,yes
2012,open_water,6,2012-06-25,OW201206000,2,14.1,1,0,436,any,4,yes
2012,open_water,6,2012-06-18,OW201206001,4,25.2,2,0,394,walleye,4,yes
