# walleye_gillnet.csv
# Lake Sandhill - Walleye Standardized Fall Gill Net Survey Data
# Columns:
#   year: Survey year (integer, YYYY)
#   sample_date: Date gill net was set (YYYY-MM-DD)
#   site: Net site identifier (character, GN01-GN08)
#   net_length_m: Total length of gill net in meters
#   set_duration_hr: Hours the net was set
#   fish_id: Unique fish identifier (character)
#   total_length_mm: Total length of walleye in millimeters
#   weight_g: Weight in grams; NA if not weighed
#   cpue_per_net: Number of walleye per net night for that site-year
# Units: net length in m, duration in hours, length in mm, weight in g
# Missing values coded as NA
year,sample_date,site,net_length_m,set_duration_hr,fish_id,total_length_mm,weight_g,cpue_per_net
2012,2012-09-13,GN01,76.2,23.1,W00001,345,656.6,13
2012,2012-09-13,GN01,76.2,23.1,W00002,436,1335.5,13
2012,2012-09-13,GN01,76.2,23.1,W00003,396,939.9,13
2012,2012-09-13,GN01,76.2,23.1,W00004,444,1435.5,13
2012,2012-09-13,GN01,76.2,23.1,W00005,292,299.8,13
2012,2012-09-13,GN01,76.2,23.1,W00006,412,910.2,13
2012,2012-09-13,GN01,76.2,23.1,W00007,367,789.8,13
2012,2012-09-13,GN01,76.2,23.1,W00008,416,892.2,13
2012,2012-09-13,GN01,76.2,23.1,W00009,468,1564.2,13
2012,2012-09-13,GN01,76.2,23.1,W00010,360,711.4,13
2012,2012-09-13,GN01,76.2,23.1,W00011,354,669.3,13
2012,2012-09-13,GN01,76.2,23.1,W00012,447,1142.8,13
2012,2012-09-13,GN01,76.2,23.1,W00013,333,518.2,13
2012,2012-09-13,GN02,76.2,20.7,W00014,382,884.7,15
2012,2012-09-13,GN02,76.2,20.7,W00015,411,891.8,15
2012,2012-09-13,GN02,76.2,20.7,W00016,404,1058.3,15
2012,2012-09-13,GN02,76.2,20.7,W00017,382,815.6,15
2012,2012-09-13,GN02,76.2,20.7,W00018,390,877.1,15
2012,2012-09-13,GN02,76.2,20.7,W00019,346,617.2,15
2012,2012-09-13,GN02,76.2,20.7,W00020,521,2259.0,15
2012,2012-09-13,GN02,76.2,20.7,W00021,338,602.0,15
2012,2012-09-13,GN02,76.2,20.7,W00022,479,NA,15
2012,2012-09-13,GN02,76.2,20.7,W00023,430,1000.9,15
2012,2012-09-13,GN02,76.2,20.7,W00024,365,730.1,15
2012,2012-09-13,GN02,76.2,20.7,W00025,303,360.4,15
2012,2012-09-13,GN02,76.2,20.7,W00026,389,943.7,15
2012,2012-09-13,GN02,76.2,20.7,W00027,465,1647.2,15
2012,2012-09-13,GN02,76.2,20.7,W00028,341,NA,15
2012,2012-09-13,GN03,76.2,19.1,W00029,509,1984.2,13
2012,2012-09-13,GN03,76.2,19.1,W00030,382,800.2,13
2012,2012-09-13,GN03,76.2,19.1,W00031,348,527.4,13
2012,2012-09-13,GN03,76.2,19.1,W00032,409,839.7,13
2012,2012-09-13,GN03,76.2,19.1,W00033,354,634.5,13
2012,2012-09-13,GN03,76.2,19.1,W00034,321,402.5,13
2012,2012-09-13,GN03,76.2,19.1,W00035,372,691.1,13
2012,2012-09-13,GN03,76.2,19.1,W00036,305,347.5,13
2012,2012-09-13,GN03,76.2,19.1,W00037,464,1343.7,13
2012,2012-09-13,GN03,76.2,19.1,W00038,384,729.3,13
2012,2012-09-13,GN03,76.2,19.1,W00039,342,NA,13
2012,2012-09-13,GN03,76.2,19.1,W00040,320,500.4,13
2012,2012-09-13,GN03,76.2,19.1,W00041,371,671.4,13
2012,2012-09-13,GN04,76.2,21.1,W00042,311,432.7,12
2012,2012-09-13,GN04,76.2,21.1,W00043,466,1515.5,12
2012,2012-09-13,GN04,76.2,21.1,W00044,373,674.0,12
2012,2012-09-13,GN04,76.2,21.1,W00045,285,358.4,12
2012,2012-09-13,GN04,76.2,21.1,W00046,431,1308.6,12
2012,2012-09-13,GN04,76.2,21.1,W00047,412,1147.3,12
2012,2012-09-13,GN04,76.2,21.1,W00048,432,1261.0,12
2012,2012-09-13,GN04,76.2,21.1,W00049,317,434.5,12
2012,2012-09-13,GN04,76.2,21.1,W00050,337,455.4,12
2012,2012-09-13,GN04,76.2,21.1,W00051,513,1867.5,12
2012,2012-09-13,GN04,76.2,21.1,W00052,366,602.5,12
2012,2012-09-13,GN04,76.2,21.1,W00053,464,1409.5,12
2012,2012-09-13,GN05,76.2,22.3,W00054,357,666.4,10
2012,2012-09-13,GN05,76.2,22.3,W00055,352,588.3,10
2012,2012-09-13,GN05,76.2,22.3,W00056,425,984.8,10
2012,2012-09-13,GN05,76.2,22.3,W00057,393,863.8,10
2012,2012-09-13,GN05,76.2,22.3,W00058,402,850.6,10
2012,2012-09-13,GN05,76.2,22.3,W00059,404,809.9,10
2012,2012-09-13,GN05,76.2,22.3,W00060,299,379.2,10
2012,2012-09-13,GN05,76.2,22.3,W00061,398,1011.1,10
2012,2012-09-13,GN05,76.2,22.3,W00062,458,1563.3,10
2012,2012-09-13,GN05,76.2,22.3,W00063,306,450.7,10
2012,2012-09-13,GN06,76.2,18.3,W00064,379,709.3,9
2012,2012-09-13,GN06,76.2,18.3,W00065,362,571.0,9
2012,2012-09-13,GN06,76.2,18.3,W00066,247,227.7,9
2012,2012-09-13,GN06,76.2,18.3,W00067,380,740.7,9
2012,2012-09-13,GN06,76.2,18.3,W00068,467,1503.1,9
2012,2012-09-13,GN06,76.2,18.3,W00069,407,NA,9
2012,2012-09-13,GN06,76.2,18.3,W00070,342,NA,9
2012,2012-09-13,GN06,76.2,18.3,W00071,372,645.5,9
2012,2012-09-13,GN06,76.2,18.3,W00072,425,1145.3,9
2012,2012-09-13,GN07,76.2,19.7,W00073,468,1686.0,8
2012,2012-09-13,GN07,76.2,19.7,W00074,444,1092.4,8
2012,2012-09-13,GN07,76.2,19.7,W00075,453,1419.1,8
2012,2012-09-13,GN07,76.2,19.7,W00076,369,635.4,8
2012,2012-09-13,GN07,76.2,19.7,W00077,365,731.4,8
2012,2012-09-13,GN07,76.2,19.7,W00078,354,NA,8
2012,2012-09-13,GN07,76.2,19.7,W00079,420,958.5,8
2012,2012-09-13,GN07,76.2,19.7,W00080,364,771.1,8
2012,2012-09-13,GN08,76.2,22.3,W00081,405,838.3,14
2012,2012-09-13,GN08,76.2,22.3,W00082,307,375.9,14
2012,2012-09-13,GN08,76.2,22.3,W00083,353,678.7,14
2012,2012-09-13,GN08,76.2,22.3,W00084,353,561.0,14
2012,2012-09-13,GN08,76.2,22.3,W00085,486,1800.3,14
2012,2012-09-13,GN08,76.2,22.3,W00086,467,1330.2,14
2012,2012-09-13,GN08,76.2,22.3,W00087,339,499.2,14
2012,2012-09-13,GN08,76.2,22.3,W00088,426,1210.3,14
2012,2012-09-13,GN08,76.2,22.3,W00089,370,747.3,14
2012,2012-09-13,GN08,76.2,22.3,W00090,444,1118.8,14
2012,2012-09-13,GN08,76.2,22.3,W00091,387,827.6,14
2012,2012-09-13,GN08,76.2,22.3,W00092,349,626.7,14
2012,2012-09-13,GN08,76.2,22.3,W00093,281,284.3,14
2012,2012-09-13,GN08,76.2,22.3,W00094,369,727.0,14
2013,2013-09-20,GN01,76.2,19.1,W00095,312,414.6,16
2013,2013-09-20,GN01,76.2,19.1,W00096,316,494.8,16
2013,2013-09-20,GN01,76.2,19.1,W00097,417,1083.2,16
2013,2013-09-20,GN01,76.2,19.1,W00098,382,850.3,16
2013,2013-09-20,GN01,76.2,19.1,W00099,358,625.5,16
2013,2013-09-20,GN01,76.2,19.1,W00100,474,1625.8,16
2013,2013-09-20,GN01,76.2,19.1,W00101,454,1514.6,16
2013,2013-09-20,GN01,76.2,19.1,W00102,447,1249.1,16
2013,2013-09-20,GN01,76.2,19.1,W00103,348,636.0,16
2013,2013-09-20,GN01,76.2,19.1,W00104,360,636.7,16
2013,2013-09-20,GN01,76.2,19.1,W00105,365,695.8,16
2013,2013-09-20,GN01,76.2,19.1,W00106,414,986.3,16
2013,2013-09-20,GN01,76.2,19.1,W00107,341,567.9,16
2013,2013-09-20,GN01,76.2,19.1,W00108,413,1081.0,16
2013,2013-09-20,GN01,76.2,19.1,W00109,440,1086.4,16
2013,2013-09-20,GN01,76.2,19.1,W00110,344,518.0,16
2013,2013-09-20,GN02,76.2,19.7,W00111,469,1708.5,13
2013,2013-09-20,GN02,76.2,19.7,W00112,366,781.7,13
2013,2013-09-20,GN02,76.2,19.7,W00113,363,683.4,13
2013,2013-09-20,GN02,76.2,19.7,W00114,404,979.4,13
2013,2013-09-20,GN02,76.2,19.7,W00115,400,782.2,13
2013,2013-09-20,GN02,76.2,19.7,W00116,421,1027.6,13
2013,2013-09-20,GN02,76.2,19.7,W00117,393,945.0,13
2013,2013-09-20,GN02,76.2,19.7,W00118,393,775.4,13
2013,2013-09-20,GN02,76.2,19.7,W00119,425,1108.8,13
2013,2013-09-20,GN02,76.2,19.7,W00120,423,1155.8,13
2013,2013-09-20,GN02,76.2,19.7,W00121,411,948.5,13
2013,2013-09-20,GN02,76.2,19.7,W00122,364,NA,13
2013,2013-09-20,GN02,76.2,19.7,W00123,468,1549.6,13
2013,2013-09-20,GN03,76.2,21.7,W00124,282,269.9,5
2013,2013-09-20,GN03,76.2,21.7,W00125,439,1366.5,5
2013,2013-09-20,GN03,76.2,21.7,W00126,476,1576.3,5
2013,2013-09-20,GN03,76.2,21.7,W00127,313,455.7,5
2013,2013-09-20,GN03,76.2,21.7,W00128,274,249.4,5
2013,2013-09-20,GN04,76.2,23.2,W00129,355,546.6,9
2013,2013-09-20,GN04,76.2,23.2,W00130,357,580.2,9
2013,2013-09-20,GN04,76.2,23.2,W00131,284,335.6,9
2013,2013-09-20,GN04,76.2,23.2,W00132,395,751.1,9
2013,2013-09-20,GN04,76.2,23.2,W00133,443,1075.8,9
2013,2013-09-20,GN04,76.2,23.2,W00134,357,551.8,9
2013,2013-09-20,GN04,76.2,23.2,W00135,540,2461.1,9
2013,2013-09-20,GN04,76.2,23.2,W00136,431,988.2,9
2013,2013-09-20,GN04,76.2,23.2,W00137,426,1208.6,9
2013,2013-09-20,GN05,76.2,20.4,W00138,380,764.3,11
2013,2013-09-20,GN05,76.2,20.4,W00139,359,636.3,11
2013,2013-09-20,GN05,76.2,20.4,W00140,335,555.9,11
2013,2013-09-20,GN05,76.2,20.4,W00141,365,NA,11
2013,2013-09-20,GN05,76.2,20.4,W00142,272,304.6,11
