# vegetation_survey.csv
# Mirror Lake - Aquatic Vegetation Coverage Survey
# Columns:
#   year: Year of survey (integer, YYYY)
#   transect: Transect identifier (character, V01-V12)
#   depth_m: Water depth at the transect point in meters
#   submergent_pct: Percent cover of submergent vegetation (e.g., pondweed, coontail)
#   emergent_pct: Percent cover of emergent vegetation (e.g., cattail, bulrush)
#   floating_pct: Percent cover of floating-leaf vegetation (e.g., water lily)
#   bare_pct: Percent of transect with no vegetation
#   dominant_species: Most abundant plant species observed (character); NA if bare
# Units: depth in meters, cover in %
# Missing values coded as NA
year,transect,depth_m,submergent_pct,emergent_pct,floating_pct,bare_pct,dominant_species
2010,V01,1.6,33,10,8,49,Myriophyllum
2010,V02,0.6,37,18,3,42,Ceratophyllum
2010,V03,3.4,45,10,12,33,Ceratophyllum
2010,V04,1.9,44,11,0,45,Elodea
2010,V05,3.3,40,10,4,46,Ceratophyllum
2010,V06,3.0,42,10,11,37,Ceratophyllum
2010,V07,3.3,38,13,8,41,Elodea
2010,V08,1.2,31,10,5,54,Typha
2010,V09,0.9,40,9,7,44,Elodea
2010,V10,2.7,26,9,4,61,Potamogeton_sp
2010,V11,0.8,35,7,11,47,Typha
2010,V12,0.5,12,11,6,71,Elodea
2012,V01,1.4,27,5,4,64,Nuphar
2012,V02,1.2,34,11,14,41,Elodea
2012,V03,2.4,20,7,8,65,Elodea
2012,V04,3.0,25,6,3,66,Nuphar
2012,V05,1.6,18,10,6,66,Elodea
2012,V06,3.2,28,12,6,54,Elodea
2012,V07,2.7,33,8,6,53,Typha
2012,V08,3.1,28,16,9,47,Potamogeton_sp
2012,V09,2.1,33,16,7,44,Nuphar
2012,V10,2.1,31,9,4,56,Typha
2012,V11,1.8,31,12,7,50,Typha
2012,V12,1.4,27,13,13,47,Potamogeton_sp
2014,V01,3.2,25,14,9,52,Ceratophyllum
2014,V02,1.2,9,17,7,67,Elodea
2014,V03,2.5,37,17,3,43,Nuphar
2014,V04,1.6,35,1,9,55,Potamogeton_sp
2014,V05,0.9,31,5,8,56,Potamogeton_sp
2014,V06,0.6,42,6,4,48,Nuphar
2014,V07,1.6,37,6,4,53,Nuphar
2014,V08,1.7,24,5,5,66,Myriophyllum
2014,V09,2.8,18,16,4,62,Typha
2014,V10,2.2,40,12,7,41,Ceratophyllum
2014,V11,1.9,11,17,10,62,Typha
2014,V12,2.5,21,5,7,67,Potamogeton_sp
2016,V01,1.2,18,3,7,72,Elodea
2016,V02,3.0,21,11,9,59,Ceratophyllum
2016,V03,0.9,23,14,8,55,Nuphar
2016,V04,1.6,15,11,7,67,Potamogeton_sp
2016,V05,1.0,22,8,7,63,Typha
2016,V06,2.7,10,7,3,80,Elodea
2016,V07,3.0,35,13,11,41,Typha
2016,V08,2.2,23,7,3,67,Ceratophyllum
2016,V09,2.9,11,15,8,66,Typha
2016,V10,0.9,19,13,6,62,Typha
2016,V11,2.2,14,8,1,77,Ceratophyllum
2016,V12,2.1,14,13,5,68,Elodea
2018,V01,1.0,7,3,8,82,Elodea
2018,V02,2.6,10,8,2,80,Elodea
2018,V03,0.9,0,2,5,93,Elodea
2018,V04,0.6,20,11,0,69,Ceratophyllum
2018,V05,0.5,16,11,7,66,Myriophyllum
2018,V06,2.2,16,11,6,67,Myriophyllum
2018,V07,3.2,9,3,0,88,Nuphar
2018,V08,1.8,3,10,11,76,Potamogeton_sp
2018,V09,1.2,2,6,5,87,Myriophyllum
2018,V10,1.4,20,13,3,64,Potamogeton_sp
2018,V11,3.1,23,7,7,63,Ceratophyllum
2018,V12,0.9,0,19,7,74,Nuphar
2020,V01,1.3,6,3,6,85,Potamogeton_sp
2020,V02,0.6,11,13,4,72,Ceratophyllum
2020,V03,1.2,6,0,5,89,Myriophyllum
2020,V04,3.0,10,9,3,78,Nuphar
2020,V05,1.9,9,6,2,83,Myriophyllum
2020,V06,2.2,17,6,5,72,Myriophyllum
2020,V07,2.4,10,7,2,81,Potamogeton_sp
2020,V08,1.7,18,16,6,60,Elodea
2020,V09,3.3,7,10,6,77,Myriophyllum
2020,V10,1.1,15,9,2,74,Potamogeton_sp
2020,V11,1.6,8,0,2,90,Typha
2020,V12,1.2,12,5,7,76,Nuphar
2022,V01,1.4,10,9,3,78,Potamogeton_sp
2022,V02,2.5,0,2,10,88,Ceratophyllum
2022,V03,1.9,6,0,2,92,Myriophyllum
2022,V04,2.3,4,3,1,92,Potamogeton_sp
2022,V05,1.3,7,9,0,84,Typha
2022,V06,0.6,7,12,6,75,Myriophyllum
2022,V07,1.1,4,8,10,78,Nuphar
2022,V08,3.5,12,7,2,79,Myriophyllum
2022,V09,2.8,0,0,1,99,Elodea
2022,V10,1.6,3,6,4,87,Ceratophyllum
2022,V11,2.5,13,2,5,80,Potamogeton_sp
2022,V12,1.0,3,5,0,92,Ceratophyllum
2024,V01,0.9,0,4,3,93,Elodea
2024,V02,1.8,2,10,3,85,Typha
2024,V03,1.8,0,4,1,95,Ceratophyllum
2024,V04,3.1,2,8,1,89,Ceratophyllum
2024,V05,2.2,0,0,7,93,Nuphar
2024,V06,1.9,2,3,3,92,Ceratophyllum
2024,V07,3.1,0,3,3,94,Potamogeton_sp
2024,V08,1.4,3,2,0,95,Myriophyllum
2024,V09,1.3,0,5,0,95,Myriophyllum
2024,V10,1.2,0,10,5,85,Myriophyllum
2024,V11,2.9,0,2,7,91,Ceratophyllum
2024,V12,1.1,0,6,0,94,Elodea
