# water_quality.csv
# Mirror Lake - Monthly Water Quality Data
# Columns:
#   year: Year of measurement (integer, YYYY)
#   month: Month of measurement (integer, 5-10)
#   sample_date: Date of measurement (YYYY-MM-DD)
#   station: Sampling station (character: deep_hole or littoral)
#   secchi_depth_m: Secchi disk depth in meters
#   total_phosphorus_ug_l: Total phosphorus concentration in micrograms per liter
#   total_nitrogen_mg_l: Total nitrogen concentration in milligrams per liter
#   surface_do_mg_l: Surface dissolved oxygen in milligrams per liter
#   bottom_do_mg_l: Bottom dissolved oxygen in milligrams per liter; NA if lake not stratified
#   chlorophyll_a_ug_l: Chlorophyll-a concentration in micrograms per liter; NA if not measured
#   surface_temp_c: Surface water temperature in degrees Celsius
# Units: depth in m, TP in ug/L, TN in mg/L, DO in mg/L, chl-a in ug/L, temp in C
# Missing values coded as NA
year,month,sample_date,station,secchi_depth_m,total_phosphorus_ug_l,total_nitrogen_mg_l,surface_do_mg_l,bottom_do_mg_l,chlorophyll_a_ug_l,surface_temp_c
2010,5,2010-05-10,deep_hole,3.1,35,0.75,8.2,NA,6.6,14.1
2010,5,2010-05-10,littoral,2.6,24,0.66,8.5,NA,NA,13.4
2010,6,2010-06-17,deep_hole,3.2,31,0.72,7.8,NA,9.6,16.2
2010,6,2010-06-17,littoral,2.7,22,0.87,7.4,NA,8.2,16.0
2010,7,2010-07-16,deep_hole,3.0,34,0.74,8.3,4.5,12.3,20.6
2010,7,2010-07-16,littoral,2.4,24,0.74,7.4,NA,9.3,21.2
2010,8,2010-08-17,deep_hole,2.7,26,0.89,7.5,3.2,12.1,23.3
2010,8,2010-08-17,littoral,2.5,32,0.71,7.6,NA,11.2,23.4
2010,9,2010-09-10,deep_hole,2.6,38,0.83,7.4,3.5,NA,27.5
2010,9,2010-09-10,littoral,3.4,21,0.81,8.0,NA,11.0,28.9
2010,10,2010-10-15,deep_hole,2.5,34,0.93,7.4,NA,6.5,31.8
2010,10,2010-10-15,littoral,3.2,42,0.83,6.6,NA,11.9,32.7
2011,5,2011-05-20,deep_hole,3.0,32,0.81,8.8,NA,14.0,13.8
2011,5,2011-05-20,littoral,2.8,37,0.86,8.7,NA,7.9,11.3
2011,6,2011-06-12,deep_hole,2.2,36,0.59,7.9,NA,15.0,14.9
2011,6,2011-06-12,littoral,3.1,25,0.81,7.2,NA,14.4,15.9
2011,7,2011-07-12,deep_hole,2.7,28,0.74,8.5,4.0,8.4,19.4
2011,7,2011-07-12,littoral,2.7,18,0.96,8.6,NA,15.9,22.6
2011,8,2011-08-20,deep_hole,3.2,31,0.94,8.9,4.2,13.4,22.8
2011,8,2011-08-20,littoral,2.5,34,0.9,7.6,NA,11.7,24.7
2011,9,2011-09-17,deep_hole,2.8,29,1.0,8.2,3.7,14.2,28.2
2011,9,2011-09-17,littoral,3.0,35,0.7,7.8,NA,11.4,28.0
2011,10,2011-10-15,deep_hole,2.7,38,0.82,8.1,NA,13.3,32.5
2011,10,2011-10-15,littoral,2.5,29,0.93,8.1,NA,10.3,32.5
2012,5,2012-05-22,deep_hole,2.8,25,0.95,8.2,NA,15.4,14.5
2012,5,2012-05-22,littoral,2.4,28,0.82,8.9,NA,9.6,13.2
2012,6,2012-06-16,deep_hole,2.1,36,0.87,7.8,NA,15.0,15.9
2012,6,2012-06-16,littoral,2.2,31,0.93,8.3,NA,10.6,15.6
2012,7,2012-07-10,deep_hole,3.0,35,0.78,7.3,2.7,14.4,19.6
2012,7,2012-07-10,littoral,2.4,31,0.98,8.1,NA,11.6,19.9
2012,8,2012-08-19,deep_hole,2.4,36,0.7,8.5,3.5,14.0,23.5
2012,8,2012-08-19,littoral,3.4,42,0.66,7.1,NA,8.0,23.3
2012,9,2012-09-19,deep_hole,2.6,39,0.81,8.4,2.7,10.9,28.3
2012,9,2012-09-19,littoral,2.9,36,0.91,7.4,NA,14.1,29.2
2012,10,2012-10-22,deep_hole,3.1,35,0.88,7.0,NA,15.3,31.2
2012,10,2012-10-22,littoral,2.4,39,0.89,6.4,NA,12.0,31.1
2013,5,2013-05-23,deep_hole,2.9,44,0.97,9.1,NA,NA,11.2
2013,5,2013-05-23,littoral,2.4,44,0.94,8.9,NA,10.9,11.4
