# reservoir_environment.csv
# Millstone Reservoir - Monthly Environmental Monitoring Data
# Columns:
#   year: Year of measurement (integer, YYYY)
#   month: Month of measurement (integer, 5-10)
#   sample_date: Date of measurement (YYYY-MM-DD)
#   secchi_depth_m: Secchi disk depth in meters
#   surface_temp_c: Surface water temperature in degrees Celsius
#   surface_do_mg_l: Surface dissolved oxygen in mg/L
#   bottom_do_mg_l: Bottom dissolved oxygen (at deepest point) in mg/L; NA if not measured
#   chlorophyll_a_ug_l: Chlorophyll-a concentration in ug/L; NA if not measured
#   algal_bloom: Whether a visible algal bloom was present (yes or no)
# Units: depth in m, temp in C, DO in mg/L, chl-a in ug/L
# Missing values coded as NA
year,month,sample_date,secchi_depth_m,surface_temp_c,surface_do_mg_l,bottom_do_mg_l,chlorophyll_a_ug_l,algal_bloom
2012,5,2012-05-16,1.7,14.8,9.3,5.5,11.4,no
2012,6,2012-06-21,1.8,21.5,8.1,6.2,18.3,no
2012,7,2012-07-23,2.0,26.9,8.5,3.5,19.3,no
2012,8,2012-08-17,1.8,29.0,7.7,3.3,21.6,no
2012,9,2012-09-19,1.3,33.3,7.4,3.3,31.8,no
2012,10,2012-10-17,2.0,42.4,6.7,5.0,26.3,no
2013,5,2013-05-24,1.7,15.7,9.2,5.3,16.3,no
2013,6,2013-06-25,1.4,20.7,8.8,5.1,21.3,no
2013,7,2013-07-19,1.9,24.5,8.1,4.6,25.2,yes
2013,8,2013-08-20,2.4,30.1,7.9,3.1,12.3,no
2013,9,2013-09-23,2.0,36.3,7.2,3.0,25.4,no
2013,10,2013-10-11,1.7,36.5,7.8,6.0,31.0,no
2014,5,2014-05-23,2.2,16.5,8.3,6.6,8.7,no
2014,6,2014-06-11,1.7,19.4,8.1,6.3,17.1,no
2014,7,2014-07-25,2.4,24.9,8.0,4.0,17.1,no
2014,8,2014-08-18,2.1,30.1,8.3,2.4,28.3,no
2014,9,2014-09-14,2.4,35.1,7.7,3.3,28.7,no
2014,10,2014-10-16,2.1,41.4,7.0,5.8,27.4,no
2015,5,2015-05-21,1.6,14.5,9.3,5.2,15.5,no
2015,6,2015-06-21,1.6,20.8,9.1,6.2,14.9,no
2015,7,2015-07-23,1.3,22.5,8.3,2.2,21.8,no
2015,8,2015-08-24,1.8,30.5,7.1,2.7,22.3,no
2015,9,2015-09-20,1.6,36.7,7.4,2.4,29.9,no
2015,10,2015-10-22,1.6,40.2,6.5,5.3,29.7,no
2016,5,2016-05-20,1.7,16.2,9.6,6.1,14.8,no
2016,6,2016-06-12,1.0,17.3,9.2,5.9,24.6,no
2016,7,2016-07-18,1.9,23.2,7.6,2.8,19.3,no
2016,8,2016-08-16,1.7,31.1,7.3,2.7,22.1,no
2016,9,2016-09-21,1.8,33.3,7.8,3.2,NA,no
2016,10,2016-10-25,0.9,39.5,7.6,6.5,35.1,no
2017,5,2017-05-25,1.6,14.9,8.7,5.9,23.4,no
2017,6,2017-06-12,1.8,20.8,9.0,6.3,17.6,no
2017,7,2017-07-18,1.6,25.6,7.8,4.2,20.5,no
2017,8,2017-08-12,1.8,30.1,7.1,2.8,26.0,no
2017,9,2017-09-14,0.9,35.3,7.8,1.4,33.8,no
2017,10,2017-10-22,1.7,41.1,7.1,5.7,22.0,yes
2018,5,2018-05-21,1.6,13.0,9.2,6.3,24.4,no
2018,6,2018-06-21,1.2,18.7,9.1,5.4,28.0,no
2018,7,2018-07-15,1.8,27.2,8.6,2.4,19.8,no
2018,8,2018-08-16,1.2,29.4,7.8,1.4,26.3,no
2018,9,2018-09-11,1.7,37.7,7.4,2.0,23.3,no
2018,10,2018-10-12,1.5,39.4,7.4,6.5,NA,no
2019,5,2019-05-16,1.3,15.2,9.8,6.5,16.8,no
2019,6,2019-06-20,1.3,19.2,9.1,6.5,24.0,no
2019,7,2019-07-20,1.8,26.5,7.8,2.5,29.7,no
2019,8,2019-08-11,1.8,28.7,8.6,1.7,27.6,no
2019,9,2019-09-17,1.3,33.6,6.8,2.1,31.1,no
2019,10,2019-10-12,1.8,43.0,6.5,6.3,33.0,yes
2020,5,2020-05-19,1.7,13.4,9.7,6.8,22.3,no
2020,6,2020-06-19,1.3,19.1,8.2,5.6,22.3,yes
2020,7,2020-07-21,1.4,25.7,7.0,1.8,29.2,no
2020,8,2020-08-15,1.0,29.8,7.8,2.2,28.8,no
2020,9,2020-09-20,1.8,36.2,6.1,2.4,36.2,no
2020,10,2020-10-21,1.4,39.2,6.8,7.1,27.8,no
2021,5,2021-05-14,1.3,10.6,9.4,5.4,30.9,no
2021,6,2021-06-11,1.9,19.9,8.0,5.3,32.9,no
2021,7,2021-07-18,1.4,26.9,8.3,2.6,22.8,no
2021,8,2021-08-22,1.3,30.4,8.4,3.6,19.4,no
2021,9,2021-09-13,1.9,35.5,8.1,1.1,36.8,no
2021,10,2021-10-18,1.6,38.6,6.5,6.0,29.0,no
2022,5,2022-05-24,1.6,16.3,9.5,7.0,15.0,no
2022,6,2022-06-16,1.4,20.0,9.3,6.3,31.7,no
2022,7,2022-07-20,1.2,24.3,8.1,1.9,17.8,no
2022,8,2022-08-10,1.3,29.8,7.3,2.9,23.4,no
2022,9,2022-09-18,1.7,37.3,7.6,2.9,30.8,no
2022,10,2022-10-13,1.3,41.2,7.1,5.9,37.9,no
2023,5,2023-05-13,1.1,12.2,9.0,6.3,35.7,no
2023,6,2023-06-14,1.4,21.6,8.5,6.5,NA,no
2023,7,2023-07-14,1.1,26.1,8.3,2.8,31.9,yes
2023,8,2023-08-23,0.9,30.9,7.9,1.4,31.8,yes
2023,9,2023-09-13,1.1,36.9,7.0,0.6,35.7,no
2023,10,2023-10-12,0.8,39.7,6.6,6.3,27.8,no
2024,5,2024-05-20,1.4,15.1,8.8,5.6,28.4,no
2024,6,2024-06-19,1.2,19.2,9.4,6.1,28.6,no
2024,7,2024-07-22,1.1,25.8,7.5,0.9,31.7,yes
2024,8,2024-08-24,1.5,29.2,7.7,1.6,31.2,yes
2024,9,2024-09-12,1.4,32.8,8.0,0.7,29.8,no
2024,10,2024-10-14,1.4,39.3,7.5,5.5,30.4,no
2025,5,2025-05-20,1.5,14.3,9.0,5.8,27.4,no
2025,6,2025-06-14,1.5,19.7,9.2,6.0,30.0,yes
2025,7,2025-07-11,1.5,22.0,8.3,3.3,34.5,yes
2025,8,2025-08-25,1.2,30.3,7.4,1.3,35.4,yes
2025,9,2025-09-19,1.3,35.0,8.3,2.7,31.0,no
2025,10,2025-10-20,1.5,39.2,6.5,6.2,32.1,no
