# user_survey.csv
# Millstone Reservoir - Biennial User Intercept Survey Data
# Columns:
#   year: Survey year (integer, YYYY)
#   survey_date: Date of interview (YYYY-MM-DD)
#   respondent_id: Anonymous respondent identifier (character)
#   user_type: Primary activity (character: angler, kayaker, swimmer, walker, other)
#   frequency: How often they visit per month during season (integer)
#   hours_on_site: Hours spent during that visit
#   satisfaction: Overall satisfaction (1=very dissatisfied to 5=very satisfied); NA if not answered
#   top_concern: Most important management concern selected from list (character)
#   would_support_fee: Would support a small access fee for improvements (yes, no, unsure); NA if not answered
# Units: frequency in visits/month, time in hours
# Missing values coded as NA
year,survey_date,respondent_id,user_type,frequency,hours_on_site,satisfaction,top_concern,would_support_fee
2014,2014-08-20,R2014000,kayaker,6,2.2,3,boat_ramps,yes
2014,2014-07-17,R2014001,kayaker,4,2.7,3,crowding,unsure
2014,2014-05-22,R2014002,angler,2,4.9,3,crowding,yes
2014,2014-07-05,R2014003,angler,6,1.1,2,fish_kills,no
2014,2014-06-27,R2014004,angler,6,3.3,3,boat_ramps,no
2014,2014-06-15,R2014005,angler,5,2.0,4,access,unsure
2014,2014-09-07,R2014006,walker,4,1.8,3,crowding,no
2014,2014-07-25,R2014007,kayaker,11,4.5,1,water_quality,yes
2014,2014-09-23,R2014008,swimmer,6,2.1,5,bank_erosion,no
2014,2014-05-11,R2014009,walker,8,1.2,3,bank_erosion,unsure
2014,2014-05-19,R2014010,angler,2,5.3,5,algal_blooms,yes
2014,2014-05-17,R2014011,swimmer,3,3.8,3,fish_kills,NA
2014,2014-07-09,R2014012,angler,3,3.0,3,crowding,unsure
2014,2014-05-01,R2014013,walker,2,2.6,NA,boat_ramps,unsure
2014,2014-08-03,R2014014,angler,3,5.3,4,access,no
2014,2014-08-21,R2014015,angler,12,5.9,4,fish_kills,no
2014,2014-07-26,R2014016,swimmer,12,2.4,5,access,unsure
2014,2014-09-02,R2014017,swimmer,6,4.7,3,bank_erosion,no
2014,2014-06-14,R2014018,angler,1,3.5,4,algal_blooms,no
2014,2014-09-04,R2014019,angler,11,1.8,4,fish_kills,yes
2014,2014-08-12,R2014020,kayaker,2,4.8,3,fish_kills,no
2014,2014-05-12,R2014021,angler,4,2.8,4,access,no
2014,2014-05-28,R2014022,angler,11,3.4,4,fish_kills,no
2014,2014-07-01,R2014023,angler,7,3.7,3,boat_ramps,yes
2014,2014-05-15,R2014024,walker,7,3.3,1,fish_kills,yes
2014,2014-07-08,R2014025,swimmer,12,4.5,5,bank_erosion,unsure
2014,2014-05-02,R2014026,kayaker,6,3.6,2,bank_erosion,no
2014,2014-08-16,R2014027,walker,8,2.1,5,fish_kills,unsure
2014,2014-05-15,R2014028,kayaker,10,3.9,4,crowding,yes
2014,2014-07-26,R2014029,swimmer,3,2.5,1,algal_blooms,yes
2014,2014-09-16,R2014030,walker,6,3.7,4,fishing_quality,yes
2014,2014-09-22,R2014031,swimmer,10,2.3,3,crowding,no
2014,2014-07-02,R2014032,swimmer,3,4.6,4,boat_ramps,yes
2014,2014-05-28,R2014033,other,4,1.6,5,fishing_quality,unsure
2014,2014-05-13,R2014034,kayaker,9,4.0,4,water_quality,unsure
2014,2014-06-11,R2014035,swimmer,1,3.7,NA,bank_erosion,unsure
2014,2014-05-06,R2014036,kayaker,11,1.4,4,boat_ramps,unsure
2014,2014-08-08,R2014037,angler,1,3.3,2,algal_blooms,yes
2014,2014-09-28,R2014038,angler,2,4.2,3,fish_kills,no
2014,2014-09-05,R2014039,angler,10,2.2,5,crowding,no
2014,2014-08-01,R2014040,swimmer,7,1.1,2,bank_erosion,no
2014,2014-08-06,R2014041,other,3,4.8,5,fishing_quality,no
2014,2014-07-18,R2014042,other,1,2.9,3,fish_kills,unsure
2014,2014-08-07,R2014043,angler,9,1.6,3,algal_blooms,yes
2014,2014-09-16,R2014044,walker,9,4.7,5,water_quality,no
2014,2014-09-28,R2014045,angler,6,2.9,1,fish_kills,yes
2014,2014-05-12,R2014046,kayaker,3,5.9,4,access,unsure
2014,2014-06-13,R2014047,kayaker,2,3.5,2,water_quality,NA
2014,2014-06-13,R2014048,kayaker,3,1.3,3,bank_erosion,no
2014,2014-08-22,R2014049,angler,11,1.6,NA,algal_blooms,no
2014,2014-06-04,R2014050,walker,12,2.4,4,fishing_quality,no
2014,2014-06-18,R2014051,swimmer,10,1.5,3,fishing_quality,yes
2014,2014-05-08,R2014052,angler,3,4.4,5,algal_blooms,no
2014,2014-05-03,R2014053,swimmer,3,1.7,4,boat_ramps,yes
2014,2014-05-26,R2014054,walker,6,4.5,3,fishing_quality,unsure
2014,2014-07-22,R2014055,walker,4,3.4,2,access,no
2014,2014-09-17,R2014056,kayaker,9,5.1,4,water_quality,yes
2014,2014-06-07,R2014057,walker,1,4.4,3,bank_erosion,yes
2014,2014-05-09,R2014058,other,8,2.3,3,bank_erosion,yes
2014,2014-05-02,R2014059,walker,12,3.0,5,access,NA
2014,2014-08-08,R2014060,angler,4,2.4,4,access,unsure
2014,2014-08-19,R2014061,walker,12,5.2,2,algal_blooms,unsure
2014,2014-07-18,R2014062,kayaker,10,3.0,4,boat_ramps,no
2014,2014-08-07,R2014063,angler,4,4.8,3,water_quality,no
2014,2014-05-28,R2014064,walker,8,5.9,3,fish_kills,unsure
2014,2014-08-14,R2014065,angler,1,2.5,4,bank_erosion,no
2014,2014-05-16,R2014066,kayaker,12,2.2,3,fish_kills,no
2014,2014-05-05,R2014067,angler,6,5.7,5,fish_kills,unsure
2014,2014-07-12,R2014068,other,5,5.9,3,algal_blooms,no
2014,2014-08-09,R2014069,angler,6,4.4,2,bank_erosion,unsure
2014,2014-06-18,R2014070,swimmer,2,2.5,4,algal_blooms,unsure
2014,2014-08-26,R2014071,swimmer,10,5.4,2,bank_erosion,no
2014,2014-07-10,R2014072,other,10,3.0,3,boat_ramps,yes
2014,2014-05-05,R2014073,swimmer,11,4.8,4,fish_kills,unsure
2014,2014-07-05,R2014074,kayaker,6,3.6,4,boat_ramps,yes
2014,2014-08-26,R2014075,walker,1,2.6,3,access,no
2014,2014-08-02,R2014076,walker,1,3.0,3,fishing_quality,unsure
2014,2014-08-03,R2014077,angler,10,2.1,5,access,no
2014,2014-06-04,R2014078,angler,12,5.2,2,fish_kills,yes
2014,2014-06-25,R2014079,other,5,2.6,3,crowding,yes
2014,2014-07-07,R2014080,swimmer,1,3.8,4,algal_blooms,no
2014,2014-06-13,R2014081,kayaker,8,1.6,4,bank_erosion,no
2014,2014-05-06,R2014082,kayaker,1,5.2,4,algal_blooms,no
2014,2014-07-26,R2014083,angler,6,5.5,3,water_quality,NA
2014,2014-06-23,R2014084,angler,7,2.3,NA,crowding,yes
2016,2016-05-28,R2016000,angler,1,4.0,3,bank_erosion,yes
2016,2016-05-18,R2016001,angler,10,2.3,2,algal_blooms,no
2016,2016-05-08,R2016002,walker,9,2.2,3,crowding,no
2016,2016-05-19,R2016003,kayaker,7,5.2,2,algal_blooms,unsure
2016,2016-09-03,R2016004,angler,2,5.3,1,crowding,no
2016,2016-06-19,R2016005,walker,10,2.2,3,crowding,yes
2016,2016-07-04,R2016006,walker,11,4.6,1,bank_erosion,no
2016,2016-09-20,R2016007,angler,2,4.4,3,water_quality,no
2016,2016-06-17,R2016008,kayaker,7,5.6,3,bank_erosion,no
2016,2016-05-22,R2016009,angler,10,1.3,2,boat_ramps,unsure
2016,2016-06-21,R2016010,swimmer,12,1.3,NA,boat_ramps,yes
2016,2016-07-12,R2016011,angler,4,5.5,3,algal_blooms,no
2016,2016-08-20,R2016012,swimmer,4,1.9,3,water_quality,unsure
2016,2016-05-24,R2016013,walker,11,2.2,3,bank_erosion,no
2016,2016-05-16,R2016014,kayaker,12,5.4,3,bank_erosion,no
2016,2016-06-21,R2016015,swimmer,6,3.7,2,access,yes
2016,2016-07-27,R2016016,angler,6,5.9,2,algal_blooms,yes
2016,2016-06-10,R2016017,walker,12,2.2,4,bank_erosion,no
2016,2016-07-07,R2016018,angler,7,3.2,4,bank_erosion,no
2016,2016-07-17,R2016019,angler,4,3.1,5,boat_ramps,no
2016,2016-06-24,R2016020,kayaker,1,5.7,3,bank_erosion,no
2016,2016-08-23,R2016021,angler,6,2.8,3,water_quality,yes
2016,2016-07-08,R2016022,walker,6,4.9,3,boat_ramps,yes
2016,2016-06-10,R2016023,swimmer,9,3.2,4,fish_kills,no
2016,2016-05-09,R2016024,walker,7,5.9,3,bank_erosion,yes
2016,2016-07-24,R2016025,kayaker,10,3.7,3,fish_kills,yes
2016,2016-06-12,R2016026,walker,11,5.6,3,bank_erosion,unsure
2016,2016-08-03,R2016027,angler,5,5.3,3,algal_blooms,yes
2016,2016-08-01,R2016028,angler,5,4.9,1,water_quality,no
2016,2016-09-01,R2016029,walker,7,2.4,NA,bank_erosion,no
2016,2016-08-27,R2016030,walker,10,2.6,4,water_quality,unsure
2016,2016-07-09,R2016031,angler,1,5.0,NA,boat_ramps,no
2016,2016-06-28,R2016032,kayaker,12,5.8,3,bank_erosion,no
2016,2016-05-08,R2016033,swimmer,3,2.3,3,fish_kills,unsure
2016,2016-07-13,R2016034,angler,10,2.4,4,crowding,no
2016,2016-05-08,R2016035,angler,9,3.0,4,fishing_quality,unsure
2016,2016-05-05,R2016036,angler,10,4.3,2,water_quality,NA
2016,2016-05-09,R2016037,angler,12,4.7,4,crowding,no
2016,2016-05-08,R2016038,swimmer,7,2.8,3,access,no
2016,2016-09-04,R2016039,swimmer,1,1.2,4,fishing_quality,yes
2016,2016-05-25,R2016040,other,1,4.2,2,fish_kills,yes
2016,2016-08-22,R2016041,walker,9,2.9,3,crowding,unsure
2016,2016-08-14,R2016042,angler,4,5.9,3,fishing_quality,no
2016,2016-06-11,R2016043,angler,3,1.1,3,fishing_quality,no
2016,2016-05-16,R2016044,walker,3,3.3,3,bank_erosion,unsure
2016,2016-08-24,R2016045,kayaker,9,2.9,3,fish_kills,unsure
2016,2016-05-27,R2016046,swimmer,8,1.6,4,crowding,NA
2016,2016-06-07,R2016047,swimmer,5,4.2,3,algal_blooms,yes
2016,2016-05-05,R2016048,angler,9,2.5,2,bank_erosion,no
2016,2016-05-12,R2016049,angler,3,2.8,4,water_quality,unsure
2016,2016-08-21,R2016050,angler,11,3.6,4,access,no
2016,2016-06-28,R2016051,angler,9,4.7,5,access,no
2016,2016-08-01,R2016052,angler,5,4.7,NA,algal_blooms,unsure
2016,2016-08-22,R2016053,swimmer,2,2.6,3,fish_kills,no
2016,2016-07-01,R2016054,swimmer,9,5.0,4,fishing_quality,unsure
2016,2016-05-25,R2016055,walker,1,3.9,5,algal_blooms,no
2016,2016-05-11,R2016056,angler,8,2.5,4,fish_kills,yes
2016,2016-06-19,R2016057,kayaker,12,1.6,3,algal_blooms,no
2016,2016-09-08,R2016058,angler,7,5.1,3,fishing_quality,no
2016,2016-06-12,R2016059,angler,9,3.9,2,access,no
2016,2016-05-14,R2016060,swimmer,11,4.0,3,boat_ramps,yes
2016,2016-05-16,R2016061,kayaker,5,4.1,4,access,no
2016,2016-06-20,R2016062,walker,8,2.9,5,access,yes
2016,2016-07-02,R2016063,angler,8,2.7,3,boat_ramps,no
2016,2016-05-18,R2016064,kayaker,10,4.5,5,crowding,yes
2016,2016-06-17,R2016065,angler,12,3.7,3,boat_ramps,unsure
2016,2016-07-17,R2016066,kayaker,7,2.2,NA,fish_kills,no
2016,2016-09-07,R2016067,kayaker,11,6.0,NA,access,unsure
2016,2016-05-12,R2016068,angler,8,4.4,3,fishing_quality,unsure
2016,2016-08-17,R2016069,angler,1,4.9,3,water_quality,yes
2016,2016-05-23,R2016070,angler,8,1.2,4,water_quality,unsure
2016,2016-05-05,R2016071,swimmer,8,5.1,3,algal_blooms,NA
2018,2018-09-22,R2018000,kayaker,2,4.3,NA,water_quality,yes
2018,2018-05-20,R2018001,angler,8,5.4,3,algal_blooms,unsure
2018,2018-07-05,R2018002,walker,5,4.5,5,fish_kills,unsure
2018,2018-05-27,R2018003,other,10,4.4,5,crowding,yes
2018,2018-09-11,R2018004,angler,6,3.0,3,access,no
2018,2018-06-22,R2018005,kayaker,11,2.7,5,algal_blooms,yes
2018,2018-09-28,R2018006,kayaker,12,5.1,3,water_quality,no
2018,2018-05-09,R2018007,angler,11,4.9,2,access,no
2018,2018-05-09,R2018008,angler,6,5.7,2,boat_ramps,NA
2018,2018-07-12,R2018009,kayaker,10,5.6,2,bank_erosion,no
2018,2018-05-07,R2018010,other,4,1.7,3,water_quality,no
2018,2018-09-02,R2018011,swimmer,10,3.0,3,fish_kills,unsure
2018,2018-07-19,R2018012,angler,12,3.1,3,access,unsure
2018,2018-06-24,R2018013,swimmer,7,2.7,4,algal_blooms,no
2018,2018-07-19,R2018014,angler,7,2.5,3,bank_erosion,no
2018,2018-09-23,R2018015,angler,8,1.7,4,fish_kills,no
2018,2018-09-04,R2018016,angler,8,2.7,1,crowding,NA
2018,2018-09-02,R2018017,angler,3,5.6,3,water_quality,yes
2018,2018-06-15,R2018018,kayaker,4,3.8,2,crowding,yes
2018,2018-07-09,R2018019,walker,8,3.7,3,water_quality,NA
2018,2018-07-24,R2018020,walker,3,1.5,5,crowding,no
2018,2018-07-17,R2018021,walker,4,3.5,1,boat_ramps,no
2018,2018-09-12,R2018022,angler,5,2.1,3,algal_blooms,no
2018,2018-08-12,R2018023,angler,12,2.1,4,algal_blooms,yes
2018,2018-08-05,R2018024,swimmer,3,2.9,3,fishing_quality,yes
2018,2018-09-12,R2018025,swimmer,10,2.5,3,access,unsure
2018,2018-06-04,R2018026,angler,4,3.3,3,boat_ramps,unsure
2018,2018-06-18,R2018027,walker,7,1.2,4,algal_blooms,NA
2018,2018-07-06,R2018028,swimmer,6,2.3,4,access,no
2018,2018-08-06,R2018029,walker,12,1.7,2,fish_kills,yes
2018,2018-06-18,R2018030,walker,6,2.3,1,access,unsure
2018,2018-09-22,R2018031,kayaker,2,3.0,2,fish_kills,unsure
2018,2018-07-25,R2018032,angler,9,3.4,4,boat_ramps,yes
2018,2018-09-19,R2018033,walker,2,4.0,NA,fish_kills,unsure
2018,2018-07-19,R2018034,kayaker,10,1.4,2,fishing_quality,no
2018,2018-06-22,R2018035,walker,12,5.2,4,access,yes
2018,2018-06-20,R2018036,kayaker,1,4.9,1,algal_blooms,NA
2018,2018-06-04,R2018037,other,4,3.5,NA,access,unsure
2018,2018-08-26,R2018038,angler,8,4.2,5,bank_erosion,unsure
2018,2018-07-07,R2018039,swimmer,3,2.9,3,boat_ramps,no
2018,2018-08-10,R2018040,kayaker,10,5.1,2,access,yes
2018,2018-09-22,R2018041,walker,8,3.2,4,algal_blooms,no
2018,2018-08-02,R2018042,angler,1,2.7,3,water_quality,no
2018,2018-06-19,R2018043,angler,3,3.8,2,algal_blooms,unsure
2018,2018-05-06,R2018044,angler,11,4.6,2,fish_kills,yes
2018,2018-07-28,R2018045,kayaker,1,2.6,3,bank_erosion,NA
2018,2018-05-18,R2018046,walker,4,4.6,4,algal_blooms,no
2018,2018-09-24,R2018047,swimmer,4,4.4,3,crowding,unsure
2018,2018-07-15,R2018048,other,6,4.5,3,algal_blooms,yes
2018,2018-06-16,R2018049,kayaker,11,5.1,1,fishing_quality,no
2018,2018-06-17,R2018050,angler,2,4.0,2,bank_erosion,no
2018,2018-07-24,R2018051,kayaker,8,3.7,2,water_quality,no
2018,2018-09-21,R2018052,angler,7,2.3,4,fish_kills,unsure
2018,2018-06-10,R2018053,swimmer,4,1.6,3,algal_blooms,NA
2018,2018-08-04,R2018054,angler,5,4.3,3,fishing_quality,no
2018,2018-06-13,R2018055,swimmer,3,4.9,4,fishing_quality,no
2018,2018-05-09,R2018056,walker,1,4.0,4,crowding,yes
2018,2018-07-23,R2018057,walker,8,2.2,3,fish_kills,yes
2018,2018-09-10,R2018058,kayaker,9,4.5,3,crowding,unsure
2018,2018-06-12,R2018059,kayaker,1,3.4,NA,boat_ramps,no
2018,2018-07-15,R2018060,walker,10,2.3,2,boat_ramps,yes
2018,2018-05-22,R2018061,angler,3,3.7,3,fishing_quality,yes
2018,2018-07-13,R2018062,swimmer,10,3.9,1,fishing_quality,no
2018,2018-05-02,R2018063,angler,8,1.2,4,algal_blooms,yes
2018,2018-07-12,R2018064,angler,7,5.7,4,access,yes
2018,2018-09-23,R2018065,angler,5,3.3,4,bank_erosion,no
2018,2018-08-13,R2018066,walker,3,5.6,NA,bank_erosion,no
2018,2018-07-25,R2018067,angler,6,1.9,3,algal_blooms,unsure
2018,2018-08-21,R2018068,angler,2,3.3,3,boat_ramps,unsure
2018,2018-07-22,R2018069,kayaker,12,1.4,4,fishing_quality,yes
2018,2018-08-16,R2018070,angler,12,4.1,3,bank_erosion,yes
2018,2018-07-03,R2018071,kayaker,9,5.5,NA,access,yes
2018,2018-09-19,R2018072,other,10,4.3,NA,water_quality,unsure
2018,2018-05-25,R2018073,kayaker,3,4.3,4,access,no
2018,2018-09-18,R2018074,walker,7,3.4,3,water_quality,unsure
2020,2020-08-11,R2020000,angler,9,2.7,4,fishing_quality,yes
2020,2020-07-18,R2020001,angler,2,2.2,4,fish_kills,yes
2020,2020-07-22,R2020002,angler,4,4.1,3,fishing_quality,no
2020,2020-05-15,R2020003,angler,1,4.2,3,bank_erosion,no
2020,2020-09-08,R2020004,walker,9,3.8,3,fish_kills,no
2020,2020-06-16,R2020005,walker,6,5.4,3,bank_erosion,no
2020,2020-06-27,R2020006,angler,11,1.1,2,boat_ramps,no
2020,2020-05-20,R2020007,kayaker,12,5.7,NA,bank_erosion,no
2020,2020-06-06,R2020008,angler,1,2.4,3,bank_erosion,unsure
2020,2020-09-19,R2020009,angler,9,5.8,2,boat_ramps,unsure
2020,2020-05-14,R2020010,swimmer,3,4.8,3,crowding,no
2020,2020-09-21,R2020011,walker,4,3.3,3,crowding,no
2020,2020-09-21,R2020012,angler,4,2.1,2,boat_ramps,yes
2020,2020-05-06,R2020013,kayaker,4,2.8,4,fishing_quality,no
2020,2020-09-22,R2020014,walker,1,2.9,NA,bank_erosion,unsure
2020,2020-09-10,R2020015,swimmer,4,2.0,2,access,no
2020,2020-09-17,R2020016,angler,7,2.4,3,algal_blooms,yes
2020,2020-06-05,R2020017,angler,2,5.5,NA,water_quality,no
2020,2020-09-08,R2020018,angler,4,2.9,3,fishing_quality,no
